claim_id,claim_title,perspective,p_title,paraphrase_perspective,para_title,vote_yes,vote_no
488,Legalize sex work in order to make controls more feasible and effective to combat HIV/AIDS,3623,Decriminalising increses sex workers’ rights.,24038,Decriminalizing would give the sex worker's more rights,1,1
488,Legalize sex work in order to make controls more feasible and effective to combat HIV/AIDS,3623,Decriminalising increses sex workers’ rights.,24039,Decriminalization would mean that sex workers would be given more rights,2,0
488,Legalize sex work in order to make controls more feasible and effective to combat HIV/AIDS,3624,Sex work is legitimate work.,24040,worker protections can be given to sex workers if legalized,1,1
488,Legalize sex work in order to make controls more feasible and effective to combat HIV/AIDS,3624,Sex work is legitimate work.,24042,Sex work is a real line of work and should be treated as such,2,0
488,Legalize sex work in order to make controls more feasible and effective to combat HIV/AIDS,3624,Sex work is legitimate work.,24043,We need to recognize sex work as the legitimate work it is,2,0
488,Legalize sex work in order to make controls more feasible and effective to combat HIV/AIDS,3624,Sex work is legitimate work.,24041,sex workers provide a service for a fee.,0,2
488,Legalize sex work in order to make controls more feasible and effective to combat HIV/AIDS,3625,Legalising ensures health care and safe sex.,24045,Legalising safe sex work can make it easier to provide adequate health care.,2,0
488,Legalize sex work in order to make controls more feasible and effective to combat HIV/AIDS,3625,Legalising ensures health care and safe sex.,24044,Protecting sex work can lead to an effective drop in HIV/AIDS.,1,1
489,Julian Assange is a journalist,3631,"The concept of what is a journalist needs to be clarified to deal with the reality of new forms of mass communication. Assange gathers, collates and disseminates information, ergo, he is a journalist.",24046,Mass communication definitions need to be updated to classify journalism.,1,1
489,Julian Assange is a journalist,3631,"The concept of what is a journalist needs to be clarified to deal with the reality of new forms of mass communication. Assange gathers, collates and disseminates information, ergo, he is a journalist.",24047,In our new reality communication and the media have classified Assange simply as a journalist giving information to the people.,2,0
489,Julian Assange is a journalist,3633,There is a difference between actual journalists and those who like having their names published in newspapers. Assange has far more claim to the description than many of them.,24048,"Journalists should be differed by the quality of their work, and Assange has proved that.",2,0
489,Julian Assange is a journalist,3633,There is a difference between actual journalists and those who like having their names published in newspapers. Assange has far more claim to the description than many of them.,24049,Journalists should care more about their stories than getting their names in the paper.,2,0
489,Julian Assange is a journalist,3634,"Assange is mostly interested in self-promotion, not being a serious journalist.",24050,"Assange is more appealed by media coverage of himself, rather than his stories.",2,0
489,Julian Assange is a journalist,3634,"Assange is mostly interested in self-promotion, not being a serious journalist.",24051,Serious journalists care more about the stories than they do their own self image.,2,0
489,Julian Assange is a journalist,3636,"Wikileaks is not a news organisation, it exists exclusively to disseminate classified information, no genuine news organisation has such an agenda.",24052,"News organizations don't send out classified information, and real journalists don't leak that.",2,0
489,Julian Assange is a journalist,3636,"Wikileaks is not a news organisation, it exists exclusively to disseminate classified information, no genuine news organisation has such an agenda.",24053,"If Assange truly was a journalist, he wouldn't have propagated classified information.",1,1
572,Prescription drugs should be advertised directly to consumers,4381,DTC prescription drug ads help remove the stigma associated with certain diseases and medical conditions.,24747,DTC relieves the fear of lack of knowledge about diseases and medical conditions,2,0
572,Prescription drugs should be advertised directly to consumers,4381,DTC prescription drug ads help remove the stigma associated with certain diseases and medical conditions.,24748,DTC works to inform the public and removing the stigma about diseases and medical conditions,1,1
572,Prescription drugs should be advertised directly to consumers,4385,DTC prescription drug ads promote drugs before long-term safety information is known.,24751,More ads that are shown will promote drug use,1,1
572,Prescription drugs should be advertised directly to consumers,4385,DTC prescription drug ads promote drugs before long-term safety information is known.,24752,More People will use drugs instead of learning how to do it safely,1,1
572,Prescription drugs should be advertised directly to consumers,4386,Normal conditions and bodily functions are medicalized and stigmatized by DTC prescription drug ads.,24753,Seeing the Prescription ads make people believe they have conditions they don't,3,0
572,Prescription drugs should be advertised directly to consumers,4386,Normal conditions and bodily functions are medicalized and stigmatized by DTC prescription drug ads.,24754,There will be more people self diagnosing from the Ads,2,1
572,Prescription drugs should be advertised directly to consumers,4387,DTC prescription drug ads encourage over-medication.,24755,The ads make people take too much medicine,2,0
572,Prescription drugs should be advertised directly to consumers,4387,DTC prescription drug ads encourage over-medication.,24756,When people see the ads they will think they need medicine even if they dont,1,1
572,Prescription drugs should be advertised directly to consumers,4388,Health care professionals may feel pressured by DTC prescription drug ads to prescribe drugs that may not be in the best interest of the patient.,24757,When seeing the ads Doctors might feel pressure to give them to patients,2,0
572,Prescription drugs should be advertised directly to consumers,4388,Health care professionals may feel pressured by DTC prescription drug ads to prescribe drugs that may not be in the best interest of the patient.,24758,Doctors might prescribe the drugs from watching the ads even if not needed,1,1
70,Major league baseball should continue to allow collisions at home plate,531,Collisions are unnecessary.,21349,collisions are not good,1,0
71,The 2022 Football World Cup must be moved to the winter,533,Heat will damage player's health,21350,heat can hurt the health of a player,1,0
71,The 2022 Football World Cup must be moved to the winter,533,Heat will damage player's health,21351,heat can hurt people,1,0
71,The 2022 Football World Cup must be moved to the winter,534,A sporting event in the heat of a desert summer will not be a pleasant experience for the fans,21352,heat is not good for sports,1,0
71,The 2022 Football World Cup must be moved to the winter,534,A sporting event in the heat of a desert summer will not be a pleasant experience for the fans,21353,heat at events hurts sporting fans,1,0
71,The 2022 Football World Cup must be moved to the winter,536,Moving now would be unfair to the other bidders,21354,To move now would be against the other bidders.,1,0
71,The 2022 Football World Cup must be moved to the winter,536,Moving now would be unfair to the other bidders,21355,It wouldn't be just to move now for the other bidders.,1,0
71,The 2022 Football World Cup must be moved to the winter,536,Moving now would be unfair to the other bidders,21356,It would be unfair to the other bidders for it to be moved now.,1,0
71,The 2022 Football World Cup must be moved to the winter,536,Moving now would be unfair to the other bidders,21357,If the move were to occur now there would be a lack of fairness to the other bidders.,1,0
71,The 2022 Football World Cup must be moved to the winter,537,A winter cup would harm media revenue,21358,A winter cup would cause financial loss.,1,0
71,The 2022 Football World Cup must be moved to the winter,537,A winter cup would harm media revenue,21359,A winter cup would cost us fiscally.,1,0
71,The 2022 Football World Cup must be moved to the winter,537,A winter cup would harm media revenue,21360,Media revenue would be harmed by a winter cup.,1,0
71,The 2022 Football World Cup must be moved to the winter,537,A winter cup would harm media revenue,21361,A winter cup would negatively impact the media revenue.,1,0
71,The 2022 Football World Cup must be moved to the winter,538,It would Interfere with other competitions,21362,It would cause interference as concerning other competitions.,1,0
71,The 2022 Football World Cup must be moved to the winter,538,It would Interfere with other competitions,21363,It would create interference where other competitions are concerned.,1,0
71,The 2022 Football World Cup must be moved to the winter,538,It would Interfere with other competitions,21364,There would be interference with other competitions.,1,0
71,The 2022 Football World Cup must be moved to the winter,538,It would Interfere with other competitions,21365,Other competitions would be interfered with.,1,0
72,Professional sportsmen must be required to represent their countries at the international level,539,A moral duty to play for your country,21366,A sense of moral obligation to play for your country.,1,0
72,Professional sportsmen must be required to represent their countries at the international level,539,A moral duty to play for your country,21367,A civilly moral obligation to play for your country.,1,0
72,Professional sportsmen must be required to represent their countries at the international level,539,A moral duty to play for your country,21368,Playing for your country is a mortal duty.,1,0
72,Professional sportsmen must be required to represent their countries at the international level,539,A moral duty to play for your country,21369,A mortal duty requires you to play for your country.,1,0
73,Positive discrimination must be used to put more women in parliament,545,Female role models are needed urgently to raise aspirations among young women and change parliamentary practices,21370,Female role models need to give hope to the desires of young women and change parliamentary practices.,2,0
73,Positive discrimination must be used to put more women in parliament,545,Female role models are needed urgently to raise aspirations among young women and change parliamentary practices,21371,Female role models need to help young women achieve higher aspiration to change parliamentary practices.,2,0
73,Positive discrimination must be used to put more women in parliament,545,Female role models are needed urgently to raise aspirations among young women and change parliamentary practices,21372,In order to change parliamentary practices it is urgent to have female role models to raise aspirations among young women.,2,0
73,Positive discrimination must be used to put more women in parliament,545,Female role models are needed urgently to raise aspirations among young women and change parliamentary practices,21373,It is urgent to have female role models to raise aspirations among young women and change parliamentary practices.,1,1
572,Prescription drugs should be advertised directly to consumers,4383,DTC prescription drug ads should be allowed as protected free speech.,24750,stopping DTC ads will take away our free speech,2,0
572,Prescription drugs should be advertised directly to consumers,4383,DTC prescription drug ads should be allowed as protected free speech.,24749,prescription drug ads are part of free speech,1,1
574,All Americans should have the right (be entitled) to health care,4421,The right to health care is an internationally recognized human right.,24759,Everyone should have a right to health care.,2,0
574,All Americans should have the right (be entitled) to health care,4421,The right to health care is an internationally recognized human right.,24760,Everyone has a right to both preemptive and reactionary health care.,1,1
574,All Americans should have the right (be entitled) to health care,4422,A right to health care could make medical services affordable for everyone.,24762,Giving everyone access to health care can lower costs by eliminating the reason for those high costs.,2,0
574,All Americans should have the right (be entitled) to health care,4422,A right to health care could make medical services affordable for everyone.,24761,Health care for everyone lowers the cost overall.,1,1
584,Tablets should replace textbooks in K-12 schools,4698,"People who read print text comprehend more, remember more, and learn more than those who read digital text.",25094,Students learn better from books than from screens.,1,0
584,Tablets should replace textbooks in K-12 schools,4698,"People who read print text comprehend more, remember more, and learn more than those who read digital text.",25095,Reading comprehension is better when using printed text.,0,1
584,Tablets should replace textbooks in K-12 schools,4699,Many students do not have sufficient home internet bandwidth to use tablets.,25096,Not all students could use the tablets at home.,1,0
584,Tablets should replace textbooks in K-12 schools,4699,Many students do not have sufficient home internet bandwidth to use tablets.,25097,Students without home internet would be at a disadvantage.,1,0
584,Tablets should replace textbooks in K-12 schools,4700,Manufacturing tablets is environmentally destructive and dangerous to human health.,25099,Replacing textbooks with tablets can lead to dangerous consequences for human and environmental health.,1,0
584,Tablets should replace textbooks in K-12 schools,4700,Manufacturing tablets is environmentally destructive and dangerous to human health.,25098,Tablets are a risk to human health and the environment.,0,1
584,Tablets should replace textbooks in K-12 schools,4702,"Print textbooks cannot crash, freeze, or get hacked.",25100,Written textbooks are safer because they do not suffer from risks technology does.,1,0
584,Tablets should replace textbooks in K-12 schools,4702,"Print textbooks cannot crash, freeze, or get hacked.",25101,"Technology is prone to hacking, crashing, and freezing and is less safe than print textbooks.",0,1
584,Tablets should replace textbooks in K-12 schools,4704,Tablets are more susceptible to theft than print textbooks.,25104,Print textbooks are less likely to be stolen than tablets.,1,0
584,Tablets should replace textbooks in K-12 schools,4704,Tablets are more susceptible to theft than print textbooks.,25105,Tablets pose a greater risk to personal security as they are more prone to theft.,1,0
584,Tablets should replace textbooks in K-12 schools,4705,Tablets enable students to cut corners or cheat on schoolwork.,25106,Tablets pose greater risk to academic integrity than textbooks.,1,0
584,Tablets should replace textbooks in K-12 schools,4705,Tablets enable students to cut corners or cheat on schoolwork.,25107,Tablets allow students to more easily take shortcuts and engage in academic dishonesty.,0,1
584,Tablets should replace textbooks in K-12 schools,4706,"The higher cost of tablets marginalizes poorer school districts and increases the ""digital divide.""",25108,Tablets in K-12 schools have higher costs than textbooks and therefore increases the digital divide.,1,0
584,Tablets should replace textbooks in K-12 schools,4706,"The higher cost of tablets marginalizes poorer school districts and increases the ""digital divide.""",25111,TOPIC #7: Should tablets replace textbooks in K 12 schools?,1,0
584,Tablets should replace textbooks in K-12 schools,4706,"The higher cost of tablets marginalizes poorer school districts and increases the ""digital divide.""",25109,The digital divide is increased with the replacement of textbooks with tablets.,0,1
584,Tablets should replace textbooks in K-12 schools,4706,"The higher cost of tablets marginalizes poorer school districts and increases the ""digital divide.""",25110,The higher cost of tablets marginalizes poorer school,0,1
129,Allow women to compete in the same leagues as men,950,Encouraging future female athletes,21741,Future female athletes could be further encouraged to pursue their sports.,1,1
129,Allow women to compete in the same leagues as men,950,Encouraging future female athletes,21742,This could have a positive impact on future female athletes.,1,1
129,Allow women to compete in the same leagues as men,950,Encouraging future female athletes,21743,promote sport for future female athlese,2,0
129,Allow women to compete in the same leagues as men,950,Encouraging future female athletes,21744,woman athelete should be encouraged,1,1
130,Subsidise the translation of academic work in the languages of developing countries,955,Translation allows greater participation by academics in global academia and global marketplace of ideas,21745,Academic participation is improved on a global scale with the use of translation of academic work.,2,0
130,Subsidise the translation of academic work in the languages of developing countries,955,Translation allows greater participation by academics in global academia and global marketplace of ideas,21746,Academic work being translated into other languages offers greater participation of other global academics and greater exchange of ideas.,1,1
130,Subsidise the translation of academic work in the languages of developing countries,956,Translation gives access to students to learn valuable information and develop their human capital and to become academically and economically competitive,21747,The translation of academic work gives students a better oppurtunity to learn crucial info and improve their academic capabilities.,1,0
130,Subsidise the translation of academic work in the languages of developing countries,956,Translation gives access to students to learn valuable information and develop their human capital and to become academically and economically competitive,21748,A student can improve academically and become more competitive through the translation of important academic work.,1,0
130,Subsidise the translation of academic work in the languages of developing countries,957,Translation expands the knowledge base of citizens to help solve local problems,21749,Citizens can resolve problems affecting them locally through the translation of various academic works.,2,0
130,Subsidise the translation of academic work in the languages of developing countries,957,Translation expands the knowledge base of citizens to help solve local problems,21750,"Academic work translation expands the information available to citizens, giving them better problem-solving skills.",1,1
130,Subsidise the translation of academic work in the languages of developing countries,958,It is better to have fewer languages in common use in global academic and economic interrelations,21751,"Translation is not neccesary, rather fewer languages should be implemented globally and in academics.",1,1
130,Subsidise the translation of academic work in the languages of developing countries,958,It is better to have fewer languages in common use in global academic and economic interrelations,21752,Global relations between countries and academias benefit from fewer and more universal languages being implemented.,2,0
130,Subsidise the translation of academic work in the languages of developing countries,959,The West has no particular obligation to undergo such a sweeping policy,21753,Countries in the West have no responsibility to translate their academic work.,1,0
130,Subsidise the translation of academic work in the languages of developing countries,959,The West has no particular obligation to undergo such a sweeping policy,21754,Translating academic work is not neccessary for countries in the West.,1,0
130,Subsidise the translation of academic work in the languages of developing countries,960,It is prohibitively expensive to translate everything and difficult to prioritize what to translate,21755,Deciding what to translate is timely and costly.,2,0
130,Subsidise the translation of academic work in the languages of developing countries,960,It is prohibitively expensive to translate everything and difficult to prioritize what to translate,21756,Figuring out what to translate can take time and money.,1,1
131,Any work that is not released under a creative commons license shouldn't be funded,965,Creative commons is not a good option for many government works,21757,Government tends not to like creative commons.,1,0
131,Any work that is not released under a creative commons license shouldn't be funded,965,Creative commons is not a good option for many government works,21758,It's best for government not to use creative commons as an option.,1,0
81,The feminist movement should seek a ban on pornography,601,Pornography eroticises violence,21432,Pornography makes violence look sexy.,1,0
81,The feminist movement should seek a ban on pornography,601,Pornography eroticises violence,21433,Pornography normalizes sexual violence.,0,1
81,The feminist movement should seek a ban on pornography,604,Attempting to ban it would only cause further problems,21436,Only more problems would arise from the prohibition of pornography,1,0
81,The feminist movement should seek a ban on pornography,604,Attempting to ban it would only cause further problems,21435,Banning pornography only creates further problems,0,1
82,Developing nations should place restrictions on rural-urban migration,606,The government has a right to make decisions in the best interest of the people,21437,It is government's responsibility to work for the betterment of the people,1,0
82,Developing nations should place restrictions on rural-urban migration,606,The government has a right to make decisions in the best interest of the people,21438,The government must make decisions about what is best for the people,1,0
82,Developing nations should place restrictions on rural-urban migration,607,Restrictions on migration would benefit people in the cities economically and socially,21440,City-dwellers are best off economically and socially when emigration to cities is restricted,1,0
82,Developing nations should place restrictions on rural-urban migration,607,Restrictions on migration would benefit people in the cities economically and socially,21439,Limiting migration to urban areas benefits people in the cities socially and economically,0,1
82,Developing nations should place restrictions on rural-urban migration,611,It is practically impossible to control people's movement,21441,The movement of people cannot practically be controlled,1,0
82,Developing nations should place restrictions on rural-urban migration,611,It is practically impossible to control people's movement,21442,Controlling population movement is really impossible,0,1
82,Developing nations should place restrictions on rural-urban migration,612,Rural life is miserable and has higher mortality rates than cities,21444,"Despite increased mortality and a depressing lifestyle, rural-urban migration must be controlled to prevent rapid urbanisation and disruption of the economy",1,0
82,Developing nations should place restrictions on rural-urban migration,612,Rural life is miserable and has higher mortality rates than cities,21443,"Many rural citizens dislike their lifestyle, but without restrictions in place, rural-urban migration could dramatically change the entire economy of a developing nation. ",0,1
82,Developing nations should place restrictions on rural-urban migration,613,Restrictions cause an incredible loss of potential,21445,"The governments of developing nations want to impose restrictions to control rural-urban migration, but these restrictions can shut out significant potential for improved quality of life for many rural citizens living in poverty",1,0
82,Developing nations should place restrictions on rural-urban migration,613,Restrictions cause an incredible loss of potential,21446,"If developing nations place restrictions on rural-urban migration, the potential for poor rural citizens to improve their quality of life will be lost in these regulations. ",1,0
455,Labels on food must be mandated to encourage people to eat better,3394,Food labeling helps people make better choices regarding their food,23778,It is easier for people to make healthier food choices when foods are labeled.,1,0
455,Labels on food must be mandated to encourage people to eat better,3394,Food labeling helps people make better choices regarding their food,23779,"In order to make healthy food choices, it is important that foods are labeled. ",1,0
455,Labels on food must be mandated to encourage people to eat better,3395,Food labeling encourages food companies to provide food more in tune with consumer values,23780,"When made to label foods, food companies generally offer foods that match consumer values.",1,0
455,Labels on food must be mandated to encourage people to eat better,3395,Food labeling encourages food companies to provide food more in tune with consumer values,23781,"When companies label their foods, consumers have an easier time finding foods that help them meet their goals.",1,0
455,Labels on food must be mandated to encourage people to eat better,3396,Food labeling does not change consumer behavior,23782,Consumers do not change their buying habits based on the absence or presence of labels.,1,0
455,Labels on food must be mandated to encourage people to eat better,3396,Food labeling does not change consumer behavior,23783,Food labeling has no effect on the products people buy.,0,1
455,Labels on food must be mandated to encourage people to eat better,3397,Food labeling allows companies to deceive consumers,23784,"By labeling their foods, companies are able to convince consumers of falsehoods. ",1,0
455,Labels on food must be mandated to encourage people to eat better,3397,Food labeling allows companies to deceive consumers,23785,Consumers can be fed lies by companies via food labels.,1,0
455,Labels on food must be mandated to encourage people to eat better,3398,Food labeling introduces unfair prejudice against certain products,23786,Food labels encourage bias against certain types of products.,1,0
455,Labels on food must be mandated to encourage people to eat better,3398,Food labeling introduces unfair prejudice against certain products,23787,Nutrition labeling on packages can encourage consumers to buy certain types of foods over others.,1,0
456,Introduce a “fat tax”,3403,Such a tax would not work,23789,A fat tax on junk food is not feasible,1,0
456,Introduce a “fat tax”,3403,Such a tax would not work,23788,Fat tax should not be adopted.,0,1
456,Introduce a “fat tax”,3404,Costs more to those who can’t afford to pay,23790,A fat tax is cost prohibitive for the lower classes.,1,0
456,Introduce a “fat tax”,3404,Costs more to those who can’t afford to pay,23791,The costs of a fat tax are too high for many.,1,0
457,Provide breakfast for all school students,3405,A school breakfast gives all students an equal start to the day,23792,School breakfast is a great way to give all students a balanced and healthy start to their day.,1,0
457,Provide breakfast for all school students,3405,A school breakfast gives all students an equal start to the day,23793,Free breakfasts for school children ensures a healthy start equally for all.,1,0
709,Everyone Should Automatically Be Opted into an Organ Donation Scheme,5888,Other countries that have it have not seen a direct increase in donation.,26044,"According other countries, it hasn't increased donation.",1,0
709,Everyone Should Automatically Be Opted into an Organ Donation Scheme,5888,Other countries that have it have not seen a direct increase in donation.,26045,There's no direct correlation  with other countries showing an increase in donations.,1,0
709,Everyone Should Automatically Be Opted into an Organ Donation Scheme,5888,Other countries that have it have not seen a direct increase in donation.,26046,new ways should be expolred to attract people to be organ donors.,1,0
709,Everyone Should Automatically Be Opted into an Organ Donation Scheme,5888,Other countries that have it have not seen a direct increase in donation.,26047,organ donation cannot be made compulsory,1,0
711,Britain should scrap the monarchy,5894,The Monarchy is backward and prejudiced,26048,The Monarchy system is biased and inefficient.,1,0
711,Britain should scrap the monarchy,5894,The Monarchy is backward and prejudiced,26049,Regressive and biased is how the Monarchy system is.,1,0
711,Britain should scrap the monarchy,5894,The Monarchy is backward and prejudiced,26050,it is time to end the monarchy rule.,0,1
711,Britain should scrap the monarchy,5894,The Monarchy is backward and prejudiced,26051,great britain should end monarchy rule.,0,1
711,Britain should scrap the monarchy,5896,It is costing the tax payers money which could be better spent,26052,Tax payers money could be spent more appropriately.,1,0
711,Britain should scrap the monarchy,5896,It is costing the tax payers money which could be better spent,26053,The tax payers are the ones losing out on money that could be spent properly.,1,0
711,Britain should scrap the monarchy,5896,It is costing the tax payers money which could be better spent,26054,tax payers money is valuable,1,0
711,Britain should scrap the monarchy,5896,It is costing the tax payers money which could be better spent,26055,tax payers money should be useful only to the public,1,0
711,Britain should scrap the monarchy,5899,Monarchy is a child's creation,26056,Monarchy is just childish.,1,0
711,Britain should scrap the monarchy,5899,Monarchy is a child's creation,26057,Monarchy is an infantile idea.,1,0
711,Britain should scrap the monarchy,5899,Monarchy is a child's creation,26058,it is high time to scrap monarchy,1,0
711,Britain should scrap the monarchy,5899,Monarchy is a child's creation,26059,monarchy in britain led to lots of chaos in the past,1,0
712,Improving access to contraception will lower the number of teenage pregnancies,5913,poor access to contracptives is not the main problem,26060,Not having availability to contraceptives is not the main issue.,1,0
712,Improving access to contraception will lower the number of teenage pregnancies,5913,poor access to contracptives is not the main problem,26061,The big problem is not due to lack of access to birth control.,1,0
712,Improving access to contraception will lower the number of teenage pregnancies,5913,poor access to contracptives is not the main problem,26062,access to contraception in need of the hour.,1,0
712,Improving access to contraception will lower the number of teenage pregnancies,5913,poor access to contracptives is not the main problem,26063,teenage pregnancies should be controlled,1,0
712,Improving access to contraception will lower the number of teenage pregnancies,5914,No it has proved opposite.,26064,Access to contraception results are unproven.,1,0
712,Improving access to contraception will lower the number of teenage pregnancies,5914,No it has proved opposite.,26065,Efficacy of teenage contraception unknown.,0,1
714,Liberal democracies are better at providing people’s needs than non-democracies.,5925,Democracies are more likely to be economically successful,26066,Democracies do better at meeting economic needs.,1,0
714,Liberal democracies are better at providing people’s needs than non-democracies.,5925,Democracies are more likely to be economically successful,26067,People's needs are met best in democracies.,1,0
715,Does Mother Nature rule the world,5928,Mother nature will outlive us,26068,Mother Nature rules over us.,1,0
715,Does Mother Nature rule the world,5928,Mother nature will outlive us,26069,Mother Nature is greater than all of us.,1,0
836,The Minimum Driving Age Should Be Raised to 18,6766,It denies young people access to safe transportation,26537,It doesn't allow young people to have safe transportation available.,1,0
836,The Minimum Driving Age Should Be Raised to 18,6766,It denies young people access to safe transportation,26538,This limits safe access of transportation for young people.,1,0
838,Prostitution should be legalised to protect sex workers from HIV/AIDS,6785,Prostitutes will be safer under legalisation,26540,Prostitutes have some safety with this legalisation.,1,0
838,Prostitution should be legalised to protect sex workers from HIV/AIDS,6785,Prostitutes will be safer under legalisation,26539,"If this is legalized, it will help protect Prostitutes. ",0,1
838,Prostitution should be legalised to protect sex workers from HIV/AIDS,6787,Legalisation Can Be A Part of a Wider Education Program,26541,Prostitution Should Be Legalised to Protect and educate Sex Workers,1,0
838,Prostitution should be legalised to protect sex workers from HIV/AIDS,6787,Legalisation Can Be A Part of a Wider Education Program,26542,Legalized prostitution would protect sex workers from abuse and educate them about STDs.,1,0
838,Prostitution should be legalised to protect sex workers from HIV/AIDS,6788,Proposal will exacerbate the HIV problem,26543,Legalizing prostitution would exacerbate the HIV problem.,1,0
838,Prostitution should be legalised to protect sex workers from HIV/AIDS,6788,Proposal will exacerbate the HIV problem,26544,Legalizing prostitution would increase the HIV problem.,0,1
838,Prostitution should be legalised to protect sex workers from HIV/AIDS,6790,Detrimental to womens rights,26546,Legalizing prostitution opposes women's rights.,1,0
838,Prostitution should be legalised to protect sex workers from HIV/AIDS,6790,Detrimental to womens rights,26545,Legalized prostitution is bad for women's rights.,0,1
839,Governments Should Pay Compensation For Terrorist Atrocities Carried Out By Their Citizens,6794,Set up an international fund to pay compensation,26547,Governments in countries where terrorism is prevalent should allocate tax dollars to a pool to compensate nations that have been victims.,1,0
839,Governments Should Pay Compensation For Terrorist Atrocities Carried Out By Their Citizens,6794,Set up an international fund to pay compensation,26548,The UN should allocate a fund to compensate nations that have been victims of terrorism.,1,0
840,The ‘war on terror’ is winnable,6798,"On Somalia, terrorism is everywhere but we need to crack down on terrorist leaders: big potbellied men who do 'not' want to die ,who train/indocrinate impressionable minds the world over",26549,Somalian terrorists need to be stopped.,1,0
840,The ‘war on terror’ is winnable,6798,"On Somalia, terrorism is everywhere but we need to crack down on terrorist leaders: big potbellied men who do 'not' want to die ,who train/indocrinate impressionable minds the world over",26550,Somalian terrorists are cowards who use children for their dirty work.,0,1
840,The ‘war on terror’ is winnable,6806,"Terror is a strategy, not a tangible enemy",26551,Terror cannot be fought because it is a strategy.,1,0
840,The ‘war on terror’ is winnable,6806,"Terror is a strategy, not a tangible enemy",26552,"Terror is a concept, not an enemy we can deploy forces against.",1,0
840,The ‘war on terror’ is winnable,6806,"Terror is a strategy, not a tangible enemy",26553,Terror is not really an enemy,0,1
840,The ‘war on terror’ is winnable,6806,"Terror is a strategy, not a tangible enemy",26554,Terror is a strategy and not an enemy,0,1
