claim,perspective,sup,und,ns,suporting (scaled),undermining (scaled),not sure (scaled),P_i ,Total ,id,source,title
7,52,4,0,0,3.0,0.0,0.0,1.0,4,7,idebate,Animals have rights.
7,55,0,3,1,0.0,2.25,0.75,0.4375,4,7,idebate,Animals have rights.
7,53,0,3,1,0.0,2.25,0.75,0.4375,4,7,idebate,Animals have rights.
7,51,3,1,0,2.25,0.75,0.0,0.4375,4,7,idebate,Animals have rights.
7,49,1,0,3,0.75,0.0,2.25,0.4375,4,7,idebate,Animals have rights.
8,62,0,4,0,0.0,3.0,0.0,1.0,4,8,idebate,Proportional representation is necessary.
8,66,0,4,0,0.0,3.0,0.0,1.0,4,8,idebate,Proportional representation is necessary.
8,60,4,0,0,3.0,0.0,0.0,1.0,4,8,idebate,Proportional representation is necessary.
8,58,4,0,0,3.0,0.0,0.0,1.0,4,8,idebate,Proportional representation is necessary.
8,63,0,4,0,0.0,3.0,0.0,1.0,4,8,idebate,Proportional representation is necessary.
8,64,0,3,1,0.0,2.25,0.75,0.4375,4,8,idebate,Proportional representation is necessary.
8,65,1,0,3,0.75,0.0,2.25,0.4375,4,8,idebate,Proportional representation is necessary.
8,59,1,0,3,0.75,0.0,2.25,0.4375,4,8,idebate,Proportional representation is necessary.
10,77,4,0,0,3.0,0.0,0.0,1.0,4,10,idebate,It is important to use a graduated response to combat unauthorised file-sharing of copyrighted material
10,79,0,4,0,0.0,3.0,0.0,1.0,4,10,idebate,It is important to use a graduated response to combat unauthorised file-sharing of copyrighted material
10,80,0,4,0,0.0,3.0,0.0,1.0,4,10,idebate,It is important to use a graduated response to combat unauthorised file-sharing of copyrighted material
10,78,4,0,0,3.0,0.0,0.0,1.0,4,10,idebate,It is important to use a graduated response to combat unauthorised file-sharing of copyrighted material
10,81,0,4,0,0.0,3.0,0.0,1.0,4,10,idebate,It is important to use a graduated response to combat unauthorised file-sharing of copyrighted material
10,76,1,0,3,0.75,0.0,2.25,0.4375,4,10,idebate,It is important to use a graduated response to combat unauthorised file-sharing of copyrighted material
11,87,0,4,0,0.0,3.0,0.0,1.0,4,11,idebate,Internet access is a human right
11,83,4,0,0,3.0,0.0,0.0,1.0,4,11,idebate,Internet access is a human right
11,84,3,1,0,2.25,0.75,0.0,0.4375,4,11,idebate,Internet access is a human right
11,88,1,3,0,0.75,2.25,0.0,0.4375,4,11,idebate,Internet access is a human right
11,86,1,3,0,0.75,2.25,0.0,0.4375,4,11,idebate,Internet access is a human right
12,95,0,6,0,0.0,3.0,0.0,1.0,6,12,idebate,It is important to use foreign aid funds to research and distribute software that allows bloggers and journalists in non-democratic countries to evade censorship and conceal their online activities.
12,93,0,6,0,0.0,3.0,0.0,1.0,6,12,idebate,It is important to use foreign aid funds to research and distribute software that allows bloggers and journalists in non-democratic countries to evade censorship and conceal their online activities.
12,89,6,0,0,3.0,0.0,0.0,1.0,6,12,idebate,It is important to use foreign aid funds to research and distribute software that allows bloggers and journalists in non-democratic countries to evade censorship and conceal their online activities.
12,90,5,0,1,2.5,0.0,0.5,0.5833333333,6,12,idebate,It is important to use foreign aid funds to research and distribute software that allows bloggers and journalists in non-democratic countries to evade censorship and conceal their online activities.
12,91,5,1,0,2.5,0.5,0.0,0.5833333333,6,12,idebate,It is important to use foreign aid funds to research and distribute software that allows bloggers and journalists in non-democratic countries to evade censorship and conceal their online activities.
12,94,0,5,1,0.0,2.5,0.5,0.5833333333,6,12,idebate,It is important to use foreign aid funds to research and distribute software that allows bloggers and journalists in non-democratic countries to evade censorship and conceal their online activities.
12,92,0,5,1,0.0,2.5,0.5,0.5833333333,6,12,idebate,It is important to use foreign aid funds to research and distribute software that allows bloggers and journalists in non-democratic countries to evade censorship and conceal their online activities.
13,100,0,5,0,0.0,3.0,0.0,1.0,5,13,idebate,Ratify the Anti-Counterfeiting Trade Agreement (ACTA).
13,98,5,0,0,3.0,0.0,0.0,1.0,5,13,idebate,Ratify the Anti-Counterfeiting Trade Agreement (ACTA).
13,96,0,0,5,0.0,0.0,3.0,1.0,5,13,idebate,Ratify the Anti-Counterfeiting Trade Agreement (ACTA).
13,99,0,5,0,0.0,3.0,0.0,1.0,5,13,idebate,Ratify the Anti-Counterfeiting Trade Agreement (ACTA).
13,101,0,5,0,0.0,3.0,0.0,1.0,5,13,idebate,Ratify the Anti-Counterfeiting Trade Agreement (ACTA).
13,97,5,0,0,3.0,0.0,0.0,1.0,5,13,idebate,Ratify the Anti-Counterfeiting Trade Agreement (ACTA).
14,106,0,3,0,0.0,3.0,0.0,1.0,3,14,idebate,Governments be allowed to disrupt Internet service on grounds of national security.
15,113,0,4,0,0.0,3.0,0.0,1.0,4,15,idebate,"A new global body, the United Nations Committee for Internet Related Policies, take over internet governance."
15,111,4,0,0,3.0,0.0,0.0,1.0,4,15,idebate,"A new global body, the United Nations Committee for Internet Related Policies, take over internet governance."
15,108,4,0,0,3.0,0.0,0.0,1.0,4,15,idebate,"A new global body, the United Nations Committee for Internet Related Policies, take over internet governance."
15,110,0,1,3,0.0,0.75,2.25,0.4375,4,15,idebate,"A new global body, the United Nations Committee for Internet Related Policies, take over internet governance."
15,109,3,1,0,2.25,0.75,0.0,0.4375,4,15,idebate,"A new global body, the United Nations Committee for Internet Related Policies, take over internet governance."
16,117,4,0,0,3.0,0.0,0.0,1.0,4,16,idebate,The net neutrality legislation has to be supported.
16,118,1,3,0,0.75,2.25,0.0,0.4375,4,16,idebate,The net neutrality legislation has to be supported.
16,115,1,3,0,0.75,2.25,0.0,0.4375,4,16,idebate,The net neutrality legislation has to be supported.
18,130,3,0,0,3.0,0.0,0.0,1.0,3,18,idebate,Goal line technology has to be adopted in football
19,139,0,4,0,0.0,3.0,0.0,1.0,4,19,idebate,permit the use of performance enhancing drugs in professional sports
19,140,0,4,0,0.0,3.0,0.0,1.0,4,19,idebate,permit the use of performance enhancing drugs in professional sports
19,135,4,0,0,3.0,0.0,0.0,1.0,4,19,idebate,permit the use of performance enhancing drugs in professional sports
19,141,0,1,3,0.0,0.75,2.25,0.4375,4,19,idebate,permit the use of performance enhancing drugs in professional sports
19,137,3,1,0,2.25,0.75,0.0,0.4375,4,19,idebate,permit the use of performance enhancing drugs in professional sports
19,142,0,1,3,0.0,0.75,2.25,0.4375,4,19,idebate,permit the use of performance enhancing drugs in professional sports
20,146,0,4,0,0.0,3.0,0.0,1.0,4,20,idebate,All nations should ban bullfighting
20,145,4,0,0,3.0,0.0,0.0,1.0,4,20,idebate,All nations should ban bullfighting
20,144,4,0,0,3.0,0.0,0.0,1.0,4,20,idebate,All nations should ban bullfighting
20,148,0,4,0,0.0,3.0,0.0,1.0,4,20,idebate,All nations should ban bullfighting
20,147,0,4,0,0.0,3.0,0.0,1.0,4,20,idebate,All nations should ban bullfighting
20,143,4,0,0,3.0,0.0,0.0,1.0,4,20,idebate,All nations should ban bullfighting
21,151,4,0,0,3.0,0.0,0.0,1.0,4,21,idebate,Instant Replay Should Be Used in Major League Baseball
21,150,4,0,0,3.0,0.0,0.0,1.0,4,21,idebate,Instant Replay Should Be Used in Major League Baseball
21,154,0,4,0,0.0,3.0,0.0,1.0,4,21,idebate,Instant Replay Should Be Used in Major League Baseball
21,149,4,0,0,3.0,0.0,0.0,1.0,4,21,idebate,Instant Replay Should Be Used in Major League Baseball
21,153,4,0,0,3.0,0.0,0.0,1.0,4,21,idebate,Instant Replay Should Be Used in Major League Baseball
21,157,0,4,0,0.0,3.0,0.0,1.0,4,21,idebate,Instant Replay Should Be Used in Major League Baseball
21,152,4,0,0,3.0,0.0,0.0,1.0,4,21,idebate,Instant Replay Should Be Used in Major League Baseball
21,158,0,4,0,0.0,3.0,0.0,1.0,4,21,idebate,Instant Replay Should Be Used in Major League Baseball
21,156,0,4,0,0.0,3.0,0.0,1.0,4,21,idebate,Instant Replay Should Be Used in Major League Baseball
21,155,0,3,1,0.0,2.25,0.75,0.4375,4,21,idebate,Instant Replay Should Be Used in Major League Baseball
22,160,4,0,0,3.0,0.0,0.0,1.0,4,22,idebate,The music that glorifies violence against women should be banned
22,159,4,0,0,3.0,0.0,0.0,1.0,4,22,idebate,The music that glorifies violence against women should be banned
22,164,0,4,0,0.0,3.0,0.0,1.0,4,22,idebate,The music that glorifies violence against women should be banned
22,162,4,0,0,3.0,0.0,0.0,1.0,4,22,idebate,The music that glorifies violence against women should be banned
22,163,0,4,0,0.0,3.0,0.0,1.0,4,22,idebate,The music that glorifies violence against women should be banned
22,166,0,3,1,0.0,2.25,0.75,0.4375,4,22,idebate,The music that glorifies violence against women should be banned
23,173,0,5,0,0.0,3.0,0.0,1.0,5,23,idebate,It is crucial to explore the universe
23,169,5,0,0,3.0,0.0,0.0,1.0,5,23,idebate,It is crucial to explore the universe
23,171,0,5,0,0.0,3.0,0.0,1.0,5,23,idebate,It is crucial to explore the universe
23,172,0,5,0,0.0,3.0,0.0,1.0,5,23,idebate,It is crucial to explore the universe
23,170,5,0,0,3.0,0.0,0.0,1.0,5,23,idebate,It is crucial to explore the universe
23,168,5,0,0,3.0,0.0,0.0,1.0,5,23,idebate,It is crucial to explore the universe
37,286,0,17,0,0.0,3.0,0.0,1.0,17,37,idebate,Music containing lyrics that glorify violent and criminal lifestyles should be banned
37,284,0,15,2,0.0,2.647058824,0.3529411765,0.6885813149,17,37,idebate,Music containing lyrics that glorify violent and criminal lifestyles should be banned
37,282,0,13,4,0.0,2.2941176469999998,0.7058823529000001,0.4602076125,17,37,idebate,Music containing lyrics that glorify violent and criminal lifestyles should be banned
40,303,0,19,0,0.0,3.0,0.0,1.0,19,40,idebate,India’s Ban on the Satanic Verses is justified
40,301,3,15,1,0.4736842105,2.368421053,0.1578947368,0.47645429359999997,19,40,idebate,India’s Ban on the Satanic Verses is justified
46,338,14,0,0,3.0,0.0,0.0,1.0,14,46,idebate,Nuclear technology must be adopted
46,337,13,1,0,2.785714286,0.21428571429999999,0.0,0.8010204082,14,46,idebate,Nuclear technology must be adopted
46,342,1,13,0,0.21428571429999999,2.785714286,0.0,0.8010204082,14,46,idebate,Nuclear technology must be adopted
46,341,0,13,1,0.0,2.785714286,0.21428571429999999,0.8010204082,14,46,idebate,Nuclear technology must be adopted
46,340,1,12,1,0.21428571429999999,2.5714285709999998,0.21428571429999999,0.6173469388,14,46,idebate,Nuclear technology must be adopted
46,336,12,1,1,2.5714285709999998,0.21428571429999999,0.21428571429999999,0.6173469388,14,46,idebate,Nuclear technology must be adopted
46,339,2,11,1,0.42857142859999997,2.357142857,0.21428571429999999,0.4642857143,14,46,idebate,Nuclear technology must be adopted
47,343,17,0,0,3.0,0.0,0.0,1.0,17,47,idebate,Performing tests on animals must be banned
47,345,16,1,0,2.823529412,0.1764705882,0.0,0.8339100345999999,17,47,idebate,Performing tests on animals must be banned
47,344,16,1,0,2.823529412,0.1764705882,0.0,0.8339100345999999,17,47,idebate,Performing tests on animals must be banned
47,350,1,16,0,0.1764705882,2.823529412,0.0,0.8339100345999999,17,47,idebate,Performing tests on animals must be banned
47,352,1,16,0,0.1764705882,2.823529412,0.0,0.8339100345999999,17,47,idebate,Performing tests on animals must be banned
47,348,2,15,0,0.3529411765,2.647058824,0.0,0.6885813149,17,47,idebate,Performing tests on animals must be banned
47,349,0,14,3,0.0,2.470588235,0.5294117647,0.5640138407999999,17,47,idebate,Performing tests on animals must be banned
47,351,0,14,3,0.0,2.470588235,0.5294117647,0.5640138407999999,17,47,idebate,Performing tests on animals must be banned
48,354,12,0,0,3.0,0.0,0.0,1.0,12,48,idebate,Private universities in the UK must be encouraged
48,353,11,1,0,2.75,0.25,0.0,0.7708333333,12,48,idebate,Private universities in the UK must be encouraged
48,358,1,11,0,0.25,2.75,0.0,0.7708333333,12,48,idebate,Private universities in the UK must be encouraged
48,360,2,10,0,0.5,2.5,0.0,0.5833333333,12,48,idebate,Private universities in the UK must be encouraged
48,355,10,0,2,2.5,0.0,0.5,0.5833333333,12,48,idebate,Private universities in the UK must be encouraged
48,357,0,10,2,0.0,2.5,0.5,0.5833333333,12,48,idebate,Private universities in the UK must be encouraged
48,359,3,9,0,0.75,2.25,0.0,0.4375,12,48,idebate,Private universities in the UK must be encouraged
49,361,13,0,0,3.0,0.0,0.0,1.0,13,49,idebate,History has no place in the classroom
49,363,13,0,0,3.0,0.0,0.0,1.0,13,49,idebate,History has no place in the classroom
49,366,1,12,0,0.23076923079999997,2.769230769,0.0,0.7869822485,13,49,idebate,History has no place in the classroom
49,364,1,12,0,0.23076923079999997,2.769230769,0.0,0.7869822485,13,49,idebate,History has no place in the classroom
49,367,0,12,1,0.0,2.769230769,0.23076923079999997,0.7869822485,13,49,idebate,History has no place in the classroom
49,362,11,2,0,2.538461538,0.4615384615,0.0,0.6094674556,13,49,idebate,History has no place in the classroom
49,365,1,11,1,0.23076923079999997,2.538461538,0.23076923079999997,0.5917159763000001,13,49,idebate,History has no place in the classroom
51,378,12,0,0,3.0,0.0,0.0,1.0,12,51,idebate,Hosting the Olympics is a good investment
51,376,11,1,0,2.75,0.25,0.0,0.7708333333,12,51,idebate,Hosting the Olympics is a good investment
51,380,1,11,0,0.25,2.75,0.0,0.7708333333,12,51,idebate,Hosting the Olympics is a good investment
51,375,11,0,1,2.75,0.0,0.25,0.7708333333,12,51,idebate,Hosting the Olympics is a good investment
51,381,0,11,1,0.0,2.75,0.25,0.7708333333,12,51,idebate,Hosting the Olympics is a good investment
51,377,9,3,0,2.25,0.75,0.0,0.4375,12,51,idebate,Hosting the Olympics is a good investment
56,420,0,19,0,0.0,3.0,0.0,1.0,19,56,idebate,We should force feed sufferers of Anorexia Nervosa
56,416,18,1,0,2.842105263,0.1578947368,0.0,0.8504155125,19,56,idebate,We should force feed sufferers of Anorexia Nervosa
56,415,17,1,1,2.6842105259999998,0.1578947368,0.1578947368,0.7091412742000001,19,56,idebate,We should force feed sufferers of Anorexia Nervosa
56,414,16,3,0,2.526315789,0.4736842105,0.0,0.6011080332000001,19,56,idebate,We should force feed sufferers of Anorexia Nervosa
56,418,1,16,2,0.1578947368,2.526315789,0.3157894737,0.5844875346,19,56,idebate,We should force feed sufferers of Anorexia Nervosa
56,417,15,3,1,2.368421053,0.4736842105,0.1578947368,0.47645429359999997,19,56,idebate,We should force feed sufferers of Anorexia Nervosa
59,438,18,0,0,3.0,0.0,0.0,1.0,18,59,idebate,Wikipedia is a force for good
59,443,0,17,1,0.0,2.833333333,0.1666666667,0.8425925926000001,18,59,idebate,Wikipedia is a force for good
59,440,16,1,1,2.666666667,0.1666666667,0.1666666667,0.6944444444,18,59,idebate,Wikipedia is a force for good
59,445,2,15,1,0.3333333333,2.5,0.1666666667,0.5648148148,18,59,idebate,Wikipedia is a force for good
59,441,15,2,1,2.5,0.3333333333,0.1666666667,0.5648148148,18,59,idebate,Wikipedia is a force for good
59,447,2,15,1,0.3333333333,2.5,0.1666666667,0.5648148148,18,59,idebate,Wikipedia is a force for good
59,446,1,15,2,0.1666666667,2.5,0.3333333333,0.5648148148,18,59,idebate,Wikipedia is a force for good
59,444,2,15,1,0.3333333333,2.5,0.1666666667,0.5648148148,18,59,idebate,Wikipedia is a force for good
59,439,14,2,2,2.333333333,0.3333333333,0.3333333333,0.44444444439999997,18,59,idebate,Wikipedia is a force for good
67,508,0,9,0,0.0,3.0,0.0,1.0,9,67,idebate,The full financial history of all candidates for political office must be posted online
67,503,9,0,0,3.0,0.0,0.0,1.0,9,67,idebate,The full financial history of all candidates for political office must be posted online
67,504,8,0,1,2.666666667,0.0,0.3333333333,0.7037037037,9,67,idebate,The full financial history of all candidates for political office must be posted online
67,506,1,8,0,0.3333333333,2.666666667,0.0,0.7037037037,9,67,idebate,The full financial history of all candidates for political office must be posted online
67,505,7,2,0,2.333333333,0.6666666667,0.0,0.4814814815,9,67,idebate,The full financial history of all candidates for political office must be posted online
67,507,2,7,0,0.6666666667,2.333333333,0.0,0.4814814815,9,67,idebate,The full financial history of all candidates for political office must be posted online
68,513,7,0,0,3.0,0.0,0.0,1.0,7,68,idebate,Transparency is necessary for security
68,517,1,6,0,0.42857142859999997,2.5714285709999998,0.0,0.6326530612,7,68,idebate,Transparency is necessary for security
68,512,6,1,0,2.5714285709999998,0.42857142859999997,0.0,0.6326530612,7,68,idebate,Transparency is necessary for security
68,518,1,6,0,0.42857142859999997,2.5714285709999998,0.0,0.6326530612,7,68,idebate,Transparency is necessary for security
68,511,6,1,0,2.5714285709999998,0.42857142859999997,0.0,0.6326530612,7,68,idebate,Transparency is necessary for security
69,520,5,0,0,3.0,0.0,0.0,1.0,5,69,idebate,Western democracies should openly try to circumvent Internet censorship in oppressive regimes
69,519,5,0,0,3.0,0.0,0.0,1.0,5,69,idebate,Western democracies should openly try to circumvent Internet censorship in oppressive regimes
69,524,0,5,0,0.0,3.0,0.0,1.0,5,69,idebate,Western democracies should openly try to circumvent Internet censorship in oppressive regimes
69,521,5,0,0,3.0,0.0,0.0,1.0,5,69,idebate,Western democracies should openly try to circumvent Internet censorship in oppressive regimes
70,528,8,0,0,3.0,0.0,0.0,1.0,8,70,idebate,Major league baseball should continue to allow collisions at home plate
70,530,0,8,0,0.0,3.0,0.0,1.0,8,70,idebate,Major league baseball should continue to allow collisions at home plate
70,527,8,0,0,3.0,0.0,0.0,1.0,8,70,idebate,Major league baseball should continue to allow collisions at home plate
70,525,7,1,0,2.625,0.375,0.0,0.671875,8,70,idebate,Major league baseball should continue to allow collisions at home plate
70,531,1,7,0,0.375,2.625,0.0,0.671875,8,70,idebate,Major league baseball should continue to allow collisions at home plate
70,526,7,1,0,2.625,0.375,0.0,0.671875,8,70,idebate,Major league baseball should continue to allow collisions at home plate
70,529,2,6,0,0.75,2.25,0.0,0.4375,8,70,idebate,Major league baseball should continue to allow collisions at home plate
71,533,8,0,0,3.0,0.0,0.0,1.0,8,71,idebate,The 2022 Football World Cup must be moved to the winter
71,537,0,8,0,0.0,3.0,0.0,1.0,8,71,idebate,The 2022 Football World Cup must be moved to the winter
71,538,0,7,1,0.0,2.625,0.375,0.671875,8,71,idebate,The 2022 Football World Cup must be moved to the winter
71,534,7,1,0,2.625,0.375,0.0,0.671875,8,71,idebate,The 2022 Football World Cup must be moved to the winter
71,536,1,7,0,0.375,2.625,0.0,0.671875,8,71,idebate,The 2022 Football World Cup must be moved to the winter
72,539,8,0,0,3.0,0.0,0.0,1.0,8,72,idebate,Professional sportsmen must be required to represent their countries at the international level
72,544,0,1,7,0.0,0.375,2.625,0.671875,8,72,idebate,Professional sportsmen must be required to represent their countries at the international level
72,542,2,0,6,0.75,0.0,2.25,0.4375,8,72,idebate,Professional sportsmen must be required to represent their countries at the international level
73,550,0,10,0,0.0,3.0,0.0,1.0,10,73,idebate,Positive discrimination must be used to put more women in parliament
73,547,10,0,0,3.0,0.0,0.0,1.0,10,73,idebate,Positive discrimination must be used to put more women in parliament
73,548,0,10,0,0.0,3.0,0.0,1.0,10,73,idebate,Positive discrimination must be used to put more women in parliament
73,549,1,9,0,0.3,2.7,0.0,0.73,10,73,idebate,Positive discrimination must be used to put more women in parliament
73,546,9,0,1,2.7,0.0,0.3,0.73,10,73,idebate,Positive discrimination must be used to put more women in parliament
73,551,8,0,2,2.4,0.0,0.6,0.52,10,73,idebate,Positive discrimination must be used to put more women in parliament
73,545,8,1,1,2.4,0.3,0.3,0.49,10,73,idebate,Positive discrimination must be used to put more women in parliament
75,563,0,8,0,0.0,3.0,0.0,1.0,8,75,idebate,Affirmative action is necessary
75,560,8,0,0,3.0,0.0,0.0,1.0,8,75,idebate,Affirmative action is necessary
75,559,8,0,0,3.0,0.0,0.0,1.0,8,75,idebate,Affirmative action is necessary
75,562,1,7,0,0.375,2.625,0.0,0.671875,8,75,idebate,Affirmative action is necessary
75,558,7,1,0,2.625,0.375,0.0,0.671875,8,75,idebate,Affirmative action is necessary
76,565,8,0,0,3.0,0.0,0.0,1.0,8,76,idebate,Illegal immigrants must be given drivers licenses
76,568,0,8,0,0.0,3.0,0.0,1.0,8,76,idebate,Illegal immigrants must be given drivers licenses
76,567,1,7,0,0.375,2.625,0.0,0.671875,8,76,idebate,Illegal immigrants must be given drivers licenses
76,564,7,1,0,2.625,0.375,0.0,0.671875,8,76,idebate,Illegal immigrants must be given drivers licenses
76,569,0,6,2,0.0,2.25,0.75,0.4375,8,76,idebate,Illegal immigrants must be given drivers licenses
78,578,9,0,0,3.0,0.0,0.0,1.0,9,78,idebate,That Zero Tolerance Policing is a Good Tactic for Fighting Crime
78,576,9,0,0,3.0,0.0,0.0,1.0,9,78,idebate,That Zero Tolerance Policing is a Good Tactic for Fighting Crime
78,577,8,1,0,2.666666667,0.3333333333,0.0,0.7037037037,9,78,idebate,That Zero Tolerance Policing is a Good Tactic for Fighting Crime
78,580,1,8,0,0.3333333333,2.666666667,0.0,0.7037037037,9,78,idebate,That Zero Tolerance Policing is a Good Tactic for Fighting Crime
78,579,1,1,7,0.3333333333,0.3333333333,2.333333333,0.44444444439999997,9,78,idebate,That Zero Tolerance Policing is a Good Tactic for Fighting Crime
79,582,9,0,0,3.0,0.0,0.0,1.0,9,79,idebate,South Ossetia should be independent
79,584,9,0,0,3.0,0.0,0.0,1.0,9,79,idebate,South Ossetia should be independent
79,586,0,8,1,0.0,2.666666667,0.3333333333,0.7037037037,9,79,idebate,South Ossetia should be independent
79,585,1,1,7,0.3333333333,0.3333333333,2.333333333,0.44444444439999997,9,79,idebate,South Ossetia should be independent
80,594,0,6,0,0.0,3.0,0.0,1.0,6,80,idebate,The Republika Srpska must be allowed to secede from Bosnia & Herzegovina
80,589,6,0,0,3.0,0.0,0.0,1.0,6,80,idebate,The Republika Srpska must be allowed to secede from Bosnia & Herzegovina
80,595,0,6,0,0.0,3.0,0.0,1.0,6,80,idebate,The Republika Srpska must be allowed to secede from Bosnia & Herzegovina
80,590,6,0,0,3.0,0.0,0.0,1.0,6,80,idebate,The Republika Srpska must be allowed to secede from Bosnia & Herzegovina
80,593,6,0,0,3.0,0.0,0.0,1.0,6,80,idebate,The Republika Srpska must be allowed to secede from Bosnia & Herzegovina
80,597,0,6,0,0.0,3.0,0.0,1.0,6,80,idebate,The Republika Srpska must be allowed to secede from Bosnia & Herzegovina
80,588,6,0,0,3.0,0.0,0.0,1.0,6,80,idebate,The Republika Srpska must be allowed to secede from Bosnia & Herzegovina
81,603,0,7,0,0.0,3.0,0.0,1.0,7,81,idebate,The feminist movement should seek a ban on pornography
81,599,7,0,0,3.0,0.0,0.0,1.0,7,81,idebate,The feminist movement should seek a ban on pornography
81,602,0,7,0,0.0,3.0,0.0,1.0,7,81,idebate,The feminist movement should seek a ban on pornography
81,604,0,7,0,0.0,3.0,0.0,1.0,7,81,idebate,The feminist movement should seek a ban on pornography
81,598,7,0,0,3.0,0.0,0.0,1.0,7,81,idebate,The feminist movement should seek a ban on pornography
81,601,6,0,1,2.5714285709999998,0.0,0.42857142859999997,0.6326530612,7,81,idebate,The feminist movement should seek a ban on pornography
81,600,6,0,1,2.5714285709999998,0.0,0.42857142859999997,0.6326530612,7,81,idebate,The feminist movement should seek a ban on pornography
81,605,0,6,1,0.0,2.5714285709999998,0.42857142859999997,0.6326530612,7,81,idebate,The feminist movement should seek a ban on pornography
82,610,0,8,0,0.0,3.0,0.0,1.0,8,82,idebate,Developing nations should place restrictions on rural-urban migration
82,608,8,0,0,3.0,0.0,0.0,1.0,8,82,idebate,Developing nations should place restrictions on rural-urban migration
