,perspective_id,evidence_id,sihao_label,daniel_label,evidence,perspective
12,1306,428,N,N,"Display of cultural treasures in Western museums may be seen as a last hangover from the imperial belief that “civilised” states such as Britain were the true cultural successors to Ancient Greece and Rome, and that the ‘barbarian’ inhabitants of those ancient regions were unable to appreciate or look after their great artistic heritage. Whether that was true in the 19th century is open to doubt; it certainly is not valid today and the display of imperial trophies in institutions such as the British Museum or the Louvre is a reminder to many developing nations of their past oppression. For instance, the British Museum is refusing to return 700 of the Benin Bronzes to Nigeria despite repeated requests by the Nigerian government . The Rosetta stone has been the subject of demands by the Egyptian government but remains in London. These artefacts become almost souvenirs of Imperialism, a way of retaining cultural ownership long after the political power of Britain has faded. Returning them would be a gesture of goodwill and cooperation. These museums refuse to return any pieces despite several demands for restitution.” From  Opoku, Kwame, ‘France returns looted artefacts to Nigeria: Beginning of a long process or an isolated act?’ 29th January 2010",Museums are a crucial source of inspiration and education
13,435,428,N,N,"Display of cultural treasures in Western museums may be seen as a last hangover from the imperial belief that “civilised” states such as Britain were the true cultural successors to Ancient Greece and Rome, and that the ‘barbarian’ inhabitants of those ancient regions were unable to appreciate or look after their great artistic heritage. Whether that was true in the 19th century is open to doubt; it certainly is not valid today and the display of imperial trophies in institutions such as the British Museum or the Louvre is a reminder to many developing nations of their past oppression. For instance, the British Museum is refusing to return 700 of the Benin Bronzes to Nigeria despite repeated requests by the Nigerian government . The Rosetta stone has been the subject of demands by the Egyptian government but remains in London. These artefacts become almost souvenirs of Imperialism, a way of retaining cultural ownership long after the political power of Britain has faded. Returning them would be a gesture of goodwill and cooperation. These museums refuse to return any pieces despite several demands for restitution.” From  Opoku, Kwame, ‘France returns looted artefacts to Nigeria: Beginning of a long process or an isolated act?’ 29th January 2010",The historical significance of artefacts extends beyond their culture of origin
14,1904,428,N,N,"Display of cultural treasures in Western museums may be seen as a last hangover from the imperial belief that “civilised” states such as Britain were the true cultural successors to Ancient Greece and Rome, and that the ‘barbarian’ inhabitants of those ancient regions were unable to appreciate or look after their great artistic heritage. Whether that was true in the 19th century is open to doubt; it certainly is not valid today and the display of imperial trophies in institutions such as the British Museum or the Louvre is a reminder to many developing nations of their past oppression. For instance, the British Museum is refusing to return 700 of the Benin Bronzes to Nigeria despite repeated requests by the Nigerian government . The Rosetta stone has been the subject of demands by the Egyptian government but remains in London. These artefacts become almost souvenirs of Imperialism, a way of retaining cultural ownership long after the political power of Britain has faded. Returning them would be a gesture of goodwill and cooperation. These museums refuse to return any pieces despite several demands for restitution.” From  Opoku, Kwame, ‘France returns looted artefacts to Nigeria: Beginning of a long process or an isolated act?’ 29th January 2010",The monarchy is an important preserver of a nation's cultural heritage
15,437,428,N,N,"Display of cultural treasures in Western museums may be seen as a last hangover from the imperial belief that “civilised” states such as Britain were the true cultural successors to Ancient Greece and Rome, and that the ‘barbarian’ inhabitants of those ancient regions were unable to appreciate or look after their great artistic heritage. Whether that was true in the 19th century is open to doubt; it certainly is not valid today and the display of imperial trophies in institutions such as the British Museum or the Louvre is a reminder to many developing nations of their past oppression. For instance, the British Museum is refusing to return 700 of the Benin Bronzes to Nigeria despite repeated requests by the Nigerian government . The Rosetta stone has been the subject of demands by the Egyptian government but remains in London. These artefacts become almost souvenirs of Imperialism, a way of retaining cultural ownership long after the political power of Britain has faded. Returning them would be a gesture of goodwill and cooperation. These museums refuse to return any pieces despite several demands for restitution.” From  Opoku, Kwame, ‘France returns looted artefacts to Nigeria: Beginning of a long process or an isolated act?’ 29th January 2010","In many cases, returning an artefact may prove to be unreasonably expensive"
16,432,429,N,S,"Artefacts were often acquired illegally. Elgin, for instance, appropriated the Parthenon Marbles from the Ottoman authorities who had invaded Greece and were arguably not the rightful owners of the site; he took advantage of political turmoil to pillage these ancient statues. Doubt has even been cast on the legality of the 1801 document which purportedly gave Elgin permission to remove the marbles . The Axum obelisk was seized from Ethiopia by Mussolini as a trophy of war; fortunately the injustice of this action has since been recognised and the obelisk was restored to its rightful place in 2005 . UNESCO regulations initially required the return of artefacts removed from their country of origin  after  1970,when the treaty came into force, but did not deal with any appropriations before this date due to deadlock in the negotiations for the framing of the convention that prevented inclusion of earlier removals. However, the 1995  UNIDROIT Convention on Stolen or Illegally Exported Cultural Objects  essentially removes the ambiguity about time limitations of UNESCO’s 1970 convention. Here, nations are required, in all cases, to return cultural artefacts to their countries of origin if those items were once stolen or removed illegally . International law is thus on the side of returning artefacts.",Many artefacts resting in western museums were acquired illegally. Western states have a duty to retain them.
17,5544,429,N,N,"Artefacts were often acquired illegally. Elgin, for instance, appropriated the Parthenon Marbles from the Ottoman authorities who had invaded Greece and were arguably not the rightful owners of the site; he took advantage of political turmoil to pillage these ancient statues. Doubt has even been cast on the legality of the 1801 document which purportedly gave Elgin permission to remove the marbles . The Axum obelisk was seized from Ethiopia by Mussolini as a trophy of war; fortunately the injustice of this action has since been recognised and the obelisk was restored to its rightful place in 2005 . UNESCO regulations initially required the return of artefacts removed from their country of origin  after  1970,when the treaty came into force, but did not deal with any appropriations before this date due to deadlock in the negotiations for the framing of the convention that prevented inclusion of earlier removals. However, the 1995  UNIDROIT Convention on Stolen or Illegally Exported Cultural Objects  essentially removes the ambiguity about time limitations of UNESCO’s 1970 convention. Here, nations are required, in all cases, to return cultural artefacts to their countries of origin if those items were once stolen or removed illegally . International law is thus on the side of returning artefacts.",Artefacts are enriched by being viewed in their place of origin
18,5551,429,N,N,"Artefacts were often acquired illegally. Elgin, for instance, appropriated the Parthenon Marbles from the Ottoman authorities who had invaded Greece and were arguably not the rightful owners of the site; he took advantage of political turmoil to pillage these ancient statues. Doubt has even been cast on the legality of the 1801 document which purportedly gave Elgin permission to remove the marbles . The Axum obelisk was seized from Ethiopia by Mussolini as a trophy of war; fortunately the injustice of this action has since been recognised and the obelisk was restored to its rightful place in 2005 . UNESCO regulations initially required the return of artefacts removed from their country of origin  after  1970,when the treaty came into force, but did not deal with any appropriations before this date due to deadlock in the negotiations for the framing of the convention that prevented inclusion of earlier removals. However, the 1995  UNIDROIT Convention on Stolen or Illegally Exported Cultural Objects  essentially removes the ambiguity about time limitations of UNESCO’s 1970 convention. Here, nations are required, in all cases, to return cultural artefacts to their countries of origin if those items were once stolen or removed illegally . International law is thus on the side of returning artefacts.",These artefacts should bring revenue to the counties of origin
19,5550,429,S,N,"Artefacts were often acquired illegally. Elgin, for instance, appropriated the Parthenon Marbles from the Ottoman authorities who had invaded Greece and were arguably not the rightful owners of the site; he took advantage of political turmoil to pillage these ancient statues. Doubt has even been cast on the legality of the 1801 document which purportedly gave Elgin permission to remove the marbles . The Axum obelisk was seized from Ethiopia by Mussolini as a trophy of war; fortunately the injustice of this action has since been recognised and the obelisk was restored to its rightful place in 2005 . UNESCO regulations initially required the return of artefacts removed from their country of origin  after  1970,when the treaty came into force, but did not deal with any appropriations before this date due to deadlock in the negotiations for the framing of the convention that prevented inclusion of earlier removals. However, the 1995  UNIDROIT Convention on Stolen or Illegally Exported Cultural Objects  essentially removes the ambiguity about time limitations of UNESCO’s 1970 convention. Here, nations are required, in all cases, to return cultural artefacts to their countries of origin if those items were once stolen or removed illegally . International law is thus on the side of returning artefacts.",Artefacts should be repatriated....including the people which were stolen and scattered world wide!
20,435,429,N,N,"Artefacts were often acquired illegally. Elgin, for instance, appropriated the Parthenon Marbles from the Ottoman authorities who had invaded Greece and were arguably not the rightful owners of the site; he took advantage of political turmoil to pillage these ancient statues. Doubt has even been cast on the legality of the 1801 document which purportedly gave Elgin permission to remove the marbles . The Axum obelisk was seized from Ethiopia by Mussolini as a trophy of war; fortunately the injustice of this action has since been recognised and the obelisk was restored to its rightful place in 2005 . UNESCO regulations initially required the return of artefacts removed from their country of origin  after  1970,when the treaty came into force, but did not deal with any appropriations before this date due to deadlock in the negotiations for the framing of the convention that prevented inclusion of earlier removals. However, the 1995  UNIDROIT Convention on Stolen or Illegally Exported Cultural Objects  essentially removes the ambiguity about time limitations of UNESCO’s 1970 convention. Here, nations are required, in all cases, to return cultural artefacts to their countries of origin if those items were once stolen or removed illegally . International law is thus on the side of returning artefacts.",The historical significance of artefacts extends beyond their culture of origin
21,5555,429,N,N,"Artefacts were often acquired illegally. Elgin, for instance, appropriated the Parthenon Marbles from the Ottoman authorities who had invaded Greece and were arguably not the rightful owners of the site; he took advantage of political turmoil to pillage these ancient statues. Doubt has even been cast on the legality of the 1801 document which purportedly gave Elgin permission to remove the marbles . The Axum obelisk was seized from Ethiopia by Mussolini as a trophy of war; fortunately the injustice of this action has since been recognised and the obelisk was restored to its rightful place in 2005 . UNESCO regulations initially required the return of artefacts removed from their country of origin  after  1970,when the treaty came into force, but did not deal with any appropriations before this date due to deadlock in the negotiations for the framing of the convention that prevented inclusion of earlier removals. However, the 1995  UNIDROIT Convention on Stolen or Illegally Exported Cultural Objects  essentially removes the ambiguity about time limitations of UNESCO’s 1970 convention. Here, nations are required, in all cases, to return cultural artefacts to their countries of origin if those items were once stolen or removed illegally . International law is thus on the side of returning artefacts.",Artefacts should be accessible to the largest amount of visitors possible 
22,5557,429,N,N,"Artefacts were often acquired illegally. Elgin, for instance, appropriated the Parthenon Marbles from the Ottoman authorities who had invaded Greece and were arguably not the rightful owners of the site; he took advantage of political turmoil to pillage these ancient statues. Doubt has even been cast on the legality of the 1801 document which purportedly gave Elgin permission to remove the marbles . The Axum obelisk was seized from Ethiopia by Mussolini as a trophy of war; fortunately the injustice of this action has since been recognised and the obelisk was restored to its rightful place in 2005 . UNESCO regulations initially required the return of artefacts removed from their country of origin  after  1970,when the treaty came into force, but did not deal with any appropriations before this date due to deadlock in the negotiations for the framing of the convention that prevented inclusion of earlier removals. However, the 1995  UNIDROIT Convention on Stolen or Illegally Exported Cultural Objects  essentially removes the ambiguity about time limitations of UNESCO’s 1970 convention. Here, nations are required, in all cases, to return cultural artefacts to their countries of origin if those items were once stolen or removed illegally . International law is thus on the side of returning artefacts.",Having artefacts in different locations encourages us to think of our common origins
23,436,429,N,N,"Artefacts were often acquired illegally. Elgin, for instance, appropriated the Parthenon Marbles from the Ottoman authorities who had invaded Greece and were arguably not the rightful owners of the site; he took advantage of political turmoil to pillage these ancient statues. Doubt has even been cast on the legality of the 1801 document which purportedly gave Elgin permission to remove the marbles . The Axum obelisk was seized from Ethiopia by Mussolini as a trophy of war; fortunately the injustice of this action has since been recognised and the obelisk was restored to its rightful place in 2005 . UNESCO regulations initially required the return of artefacts removed from their country of origin  after  1970,when the treaty came into force, but did not deal with any appropriations before this date due to deadlock in the negotiations for the framing of the convention that prevented inclusion of earlier removals. However, the 1995  UNIDROIT Convention on Stolen or Illegally Exported Cultural Objects  essentially removes the ambiguity about time limitations of UNESCO’s 1970 convention. Here, nations are required, in all cases, to return cultural artefacts to their countries of origin if those items were once stolen or removed illegally . International law is thus on the side of returning artefacts.",Artefacts should be made accessible to the largest possible number of visitors
24,433,430,S,S,"It may have been true that countries such as Greece were not capable of looking after their heritage in the past, but that has now changed. Since 197 5 Greece has been carefully restoring the Acropolis and Athens now has a secure environment to maintain the marbles. The state-of-the-art New Acropolis Museum, which cost $200m, has now been completed to house the surviving marbles , and even contains a replica of the temple, thus the marbles would appear as being exactly the same as on the real temple. Pollution control measures (such as installing pollution monitoring stations throughout metropolitan Athens and ensuring that motor vehicles must comply with emission standards ) have reduced sulphur-dioxide levels in the city to a fifth of their previous levels. At the same time the curatorship of institutions such as the British Museum is being called into question, as it becomes apparent that controversial cleaning and restoration practices may have harmed the sculptures they claim to protect. In the 1930s the British museum’s attempt to clean them using chisels caused irreparable damage.",Developing countries are able to guard and preserve their own cultural treasures
25,7862,430,N,N,"It may have been true that countries such as Greece were not capable of looking after their heritage in the past, but that has now changed. Since 197 5 Greece has been carefully restoring the Acropolis and Athens now has a secure environment to maintain the marbles. The state-of-the-art New Acropolis Museum, which cost $200m, has now been completed to house the surviving marbles , and even contains a replica of the temple, thus the marbles would appear as being exactly the same as on the real temple. Pollution control measures (such as installing pollution monitoring stations throughout metropolitan Athens and ensuring that motor vehicles must comply with emission standards ) have reduced sulphur-dioxide levels in the city to a fifth of their previous levels. At the same time the curatorship of institutions such as the British Museum is being called into question, as it becomes apparent that controversial cleaning and restoration practices may have harmed the sculptures they claim to protect. In the 1930s the British museum’s attempt to clean them using chisels caused irreparable damage.",Air pollution will get even worse. 
26,3059,430,N,N,"It may have been true that countries such as Greece were not capable of looking after their heritage in the past, but that has now changed. Since 197 5 Greece has been carefully restoring the Acropolis and Athens now has a secure environment to maintain the marbles. The state-of-the-art New Acropolis Museum, which cost $200m, has now been completed to house the surviving marbles , and even contains a replica of the temple, thus the marbles would appear as being exactly the same as on the real temple. Pollution control measures (such as installing pollution monitoring stations throughout metropolitan Athens and ensuring that motor vehicles must comply with emission standards ) have reduced sulphur-dioxide levels in the city to a fifth of their previous levels. At the same time the curatorship of institutions such as the British Museum is being called into question, as it becomes apparent that controversial cleaning and restoration practices may have harmed the sculptures they claim to protect. In the 1930s the British museum’s attempt to clean them using chisels caused irreparable damage.",A dam would damage the environment
27,3424,430,N,N,"It may have been true that countries such as Greece were not capable of looking after their heritage in the past, but that has now changed. Since 197 5 Greece has been carefully restoring the Acropolis and Athens now has a secure environment to maintain the marbles. The state-of-the-art New Acropolis Museum, which cost $200m, has now been completed to house the surviving marbles , and even contains a replica of the temple, thus the marbles would appear as being exactly the same as on the real temple. Pollution control measures (such as installing pollution monitoring stations throughout metropolitan Athens and ensuring that motor vehicles must comply with emission standards ) have reduced sulphur-dioxide levels in the city to a fifth of their previous levels. At the same time the curatorship of institutions such as the British Museum is being called into question, as it becomes apparent that controversial cleaning and restoration practices may have harmed the sculptures they claim to protect. In the 1930s the British museum’s attempt to clean them using chisels caused irreparable damage.",The City has the obligation to protect its citizenry
28,6628,430,N,N,"It may have been true that countries such as Greece were not capable of looking after their heritage in the past, but that has now changed. Since 197 5 Greece has been carefully restoring the Acropolis and Athens now has a secure environment to maintain the marbles. The state-of-the-art New Acropolis Museum, which cost $200m, has now been completed to house the surviving marbles , and even contains a replica of the temple, thus the marbles would appear as being exactly the same as on the real temple. Pollution control measures (such as installing pollution monitoring stations throughout metropolitan Athens and ensuring that motor vehicles must comply with emission standards ) have reduced sulphur-dioxide levels in the city to a fifth of their previous levels. At the same time the curatorship of institutions such as the British Museum is being called into question, as it becomes apparent that controversial cleaning and restoration practices may have harmed the sculptures they claim to protect. In the 1930s the British museum’s attempt to clean them using chisels caused irreparable damage.","The host city becomes an international hotspot for business investment, develops a new 'creative industry' and encourages new practices of cultural consumption"
29,6600,430,N,N,"It may have been true that countries such as Greece were not capable of looking after their heritage in the past, but that has now changed. Since 197 5 Greece has been carefully restoring the Acropolis and Athens now has a secure environment to maintain the marbles. The state-of-the-art New Acropolis Museum, which cost $200m, has now been completed to house the surviving marbles , and even contains a replica of the temple, thus the marbles would appear as being exactly the same as on the real temple. Pollution control measures (such as installing pollution monitoring stations throughout metropolitan Athens and ensuring that motor vehicles must comply with emission standards ) have reduced sulphur-dioxide levels in the city to a fifth of their previous levels. At the same time the curatorship of institutions such as the British Museum is being called into question, as it becomes apparent that controversial cleaning and restoration practices may have harmed the sculptures they claim to protect. In the 1930s the British museum’s attempt to clean them using chisels caused irreparable damage.",Reheating is 5 times better for the environment
30,430,430,N,N,"It may have been true that countries such as Greece were not capable of looking after their heritage in the past, but that has now changed. Since 197 5 Greece has been carefully restoring the Acropolis and Athens now has a secure environment to maintain the marbles. The state-of-the-art New Acropolis Museum, which cost $200m, has now been completed to house the surviving marbles , and even contains a replica of the temple, thus the marbles would appear as being exactly the same as on the real temple. Pollution control measures (such as installing pollution monitoring stations throughout metropolitan Athens and ensuring that motor vehicles must comply with emission standards ) have reduced sulphur-dioxide levels in the city to a fifth of their previous levels. At the same time the curatorship of institutions such as the British Museum is being called into question, as it becomes apparent that controversial cleaning and restoration practices may have harmed the sculptures they claim to protect. In the 1930s the British museum’s attempt to clean them using chisels caused irreparable damage.",Cultural artefacts are enriched when displayed in the context from which they originated
31,431,430,N,N,"It may have been true that countries such as Greece were not capable of looking after their heritage in the past, but that has now changed. Since 197 5 Greece has been carefully restoring the Acropolis and Athens now has a secure environment to maintain the marbles. The state-of-the-art New Acropolis Museum, which cost $200m, has now been completed to house the surviving marbles , and even contains a replica of the temple, thus the marbles would appear as being exactly the same as on the real temple. Pollution control measures (such as installing pollution monitoring stations throughout metropolitan Athens and ensuring that motor vehicles must comply with emission standards ) have reduced sulphur-dioxide levels in the city to a fifth of their previous levels. At the same time the curatorship of institutions such as the British Museum is being called into question, as it becomes apparent that controversial cleaning and restoration practices may have harmed the sculptures they claim to protect. In the 1930s the British museum’s attempt to clean them using chisels caused irreparable damage.",Retaining artefacts is a relic of imperialist attitudes to non-occidental cultures
32,434,431,S,S,"If the Rosetta Stone had not been taken by the British in 1801, the deciphering of the ancient hieroglyphic language of the ancient Egyptian civilizations would have been near impossible. The British Museum is within just hours, and in some cases minutes, of such world-renowned institutions as Cambridge, Oxford, UCL, and Edinburgh. The scientific research that occurs in stable developed countries and scientifically excelling countries is of the highest degree, and parallels to this high level of study are simply non-existent in many underdeveloped countries.","Scholars will have better access to artefacts, and more opportunities for study and collaboration, if they are stored in the west"
33,2470,431,N,N,"If the Rosetta Stone had not been taken by the British in 1801, the deciphering of the ancient hieroglyphic language of the ancient Egyptian civilizations would have been near impossible. The British Museum is within just hours, and in some cases minutes, of such world-renowned institutions as Cambridge, Oxford, UCL, and Edinburgh. The scientific research that occurs in stable developed countries and scientifically excelling countries is of the highest degree, and parallels to this high level of study are simply non-existent in many underdeveloped countries.",Mohamed Morsi had been democratically elected
34,2466,431,N,N,"If the Rosetta Stone had not been taken by the British in 1801, the deciphering of the ancient hieroglyphic language of the ancient Egyptian civilizations would have been near impossible. The British Museum is within just hours, and in some cases minutes, of such world-renowned institutions as Cambridge, Oxford, UCL, and Edinburgh. The scientific research that occurs in stable developed countries and scientifically excelling countries is of the highest degree, and parallels to this high level of study are simply non-existent in many underdeveloped countries.",Failed to gain control of the Egyptian crisis 
35,7518,431,N,N,"If the Rosetta Stone had not been taken by the British in 1801, the deciphering of the ancient hieroglyphic language of the ancient Egyptian civilizations would have been near impossible. The British Museum is within just hours, and in some cases minutes, of such world-renowned institutions as Cambridge, Oxford, UCL, and Edinburgh. The scientific research that occurs in stable developed countries and scientifically excelling countries is of the highest degree, and parallels to this high level of study are simply non-existent in many underdeveloped countries.",The significant bulk of scientific research says it is happening
36,2467,431,N,N,"If the Rosetta Stone had not been taken by the British in 1801, the deciphering of the ancient hieroglyphic language of the ancient Egyptian civilizations would have been near impossible. The British Museum is within just hours, and in some cases minutes, of such world-renowned institutions as Cambridge, Oxford, UCL, and Edinburgh. The scientific research that occurs in stable developed countries and scientifically excelling countries is of the highest degree, and parallels to this high level of study are simply non-existent in many underdeveloped countries.",Morsi’s economic and social policies had been ineffective and unpopular
