,claim,perspective,sup_x,lsup_x,lund_x,und_x,ns,sup_y,lsup_y,lund_y,und_y,not_valid,P_i_3_labels
64,581,4609,0,0,0,2,0,0,0,0,3,0,1.0
65,581,4577,2,0,0,0,0,3,0,0,0,0,1.0
66,581,4582,1,0,0,0,1,1,1,0,1,0,0.3333333333
67,581,4573,2,0,0,0,0,3,0,0,0,0,1.0
68,581,4575,2,0,0,0,0,3,0,0,0,0,1.0
69,581,4588,2,0,0,0,0,1,0,0,1,1,0.0
70,581,4608,1,0,0,1,0,0,0,1,2,0,1.0
71,581,4595,0,0,0,2,0,0,0,0,3,0,1.0
72,581,4602,0,0,0,2,0,0,0,0,3,0,1.0
73,581,4597,0,0,0,2,0,0,0,0,2,1,0.3333333333
74,581,4610,0,0,1,1,0,0,0,0,3,0,1.0
75,581,4601,0,0,0,2,0,0,0,0,1,2,0.3333333333
76,581,4579,2,0,0,0,0,3,0,0,0,0,1.0
77,581,4570,2,0,0,0,0,3,0,0,0,0,1.0
78,581,4578,2,0,0,0,0,3,0,0,0,0,1.0
79,581,4583,2,0,0,0,0,3,0,0,0,0,1.0
80,581,4571,2,0,0,0,0,3,0,0,0,0,1.0
81,581,4600,0,0,0,2,0,0,0,0,3,0,1.0
82,581,4587,1,1,0,0,0,1,1,0,0,1,0.3333333333
83,581,4594,0,0,0,2,0,0,0,0,3,0,1.0
84,581,4591,0,0,0,2,0,0,0,0,3,0,1.0
85,581,4580,2,0,0,0,0,3,0,0,0,0,1.0
86,581,4596,0,0,0,2,0,0,0,0,3,0,1.0
87,581,4576,2,0,0,0,0,3,0,0,0,0,1.0
88,581,4607,0,0,1,1,0,0,0,1,0,2,0.3333333333
89,581,4598,0,0,0,2,0,1,0,0,1,1,0.0
