claim,perspective,_S,_A,_B,_U,N,S,U,gold
581,16834,0,0,0,1,2,0,1,N
581,16835,3,0,0,0,0,3,0,S
581,16836,0,1,0,2,0,1,2,U
581,16837,0,1,0,2,0,1,2,U
581,16838,2,0,1,0,0,2,1,S
581,16839,0,1,0,0,2,1,0,N
581,16840,3,0,0,0,0,3,0,S
581,16841,0,1,0,0,2,1,0,N
581,16842,0,1,0,0,2,1,0,S
581,16843,2,0,1,0,0,2,1,S
581,16844,2,0,0,0,1,2,0,S
581,16845,0,0,1,0,2,0,1,N 
581,16846,0,0,0,0,3,0,0,N
581,16847,0,0,0,0,3,0,0,N
581,16848,1,1,1,0,0,2,1,S
581,16849,1,0,1,0,1,1,1,N 
581,16850,0,0,1,1,1,0,2,U
581,16851,0,0,1,2,0,0,3,N
581,16852,0,0,1,2,0,0,3,U
581,16853,0,0,1,1,1,0,2,U
581,16854,1,0,2,0,0,1,2,S
581,16855,1,0,2,0,0,1,2,S
581,16856,0,0,1,2,0,0,3,U
581,16857,0,0,0,0,3,0,0,N
581,16858,0,0,0,0,3,0,0,N
581,16859,0,1,0,0,2,1,0,S
581,16860,0,1,1,0,1,1,1,U
581,16861,0,1,0,1,1,1,1,U
581,16862,0,0,0,0,3,0,0,N
581,16863,0,1,0,0,2,1,0,U
581,16864,0,0,0,0,3,0,0,N
581,16865,0,1,1,0,1,1,1,N
581,16866,1,0,2,0,0,1,2,S
581,16867,0,1,0,0,2,1,0,N
581,16868,0,1,1,1,0,1,2,U
581,16869,0,1,1,0,1,1,1,N
581,16870,0,1,0,1,1,1,1,U
581,16871,0,1,0,0,2,1,0,N
581,16872,2,0,1,0,0,2,1,S
581,16873,1,0,1,0,1,1,1,S
581,16874,0,1,1,0,1,1,1,N
581,16875,0,0,0,1,2,0,1,N
581,16876,0,0,0,0,3,0,0,N
581,16877,0,1,0,0,2,1,0,N
581,16878,1,0,2,0,0,1,2,S
581,16879,0,0,0,1,2,0,1,S
581,16880,0,0,0,1,2,0,1,N
581,16881,0,0,1,2,0,0,3,U
581,16882,0,0,1,0,2,0,1,N
581,16883,0,0,1,0,2,0,1,S
581,16884,0,0,1,0,2,0,1,U
581,16885,0,1,0,1,1,1,1,N
581,16886,1,0,2,0,0,1,2,S
581,16887,0,1,1,0,1,1,1,S
581,16888,0,1,0,2,0,1,2,U
581,16889,0,0,0,0,3,0,0,N
581,16890,0,0,0,0,3,0,0,N
581,16891,0,1,0,0,2,1,0,N
875,7092,0,0,0,3,0,0,3,U
875,7093,0,0,0,3,0,0,3,U
875,7094,0,0,0,2,1,0,2,U
875,7095,0,1,0,2,0,1,2,S
875,7096,0,0,0,3,0,0,3,U
875,7097,0,0,0,1,2,0,1,U
875,7098,0,0,0,1,2,0,1,U
875,9278,0,0,2,0,1,0,2,N
875,11116,3,0,0,0,0,3,0,N 
875,11357,2,0,0,0,1,2,0,N
875,16897,0,3,0,0,0,3,0,N
875,18313,3,0,0,0,0,3,0,N
875,19647,0,0,0,0,3,0,0,N
875,19835,0,1,0,0,2,1,0,N
875,19836,1,0,0,0,2,1,0,N
875,19837,0,0,0,0,3,0,0,N
875,19838,0,0,1,1,1,0,2,N
875,19839,0,1,0,1,1,1,1,U
875,19840,0,2,0,0,1,2,0,N
875,19841,0,0,1,0,2,0,1,N
875,19842,3,0,0,0,0,3,0,S
875,19843,0,2,0,0,1,2,0,N
875,19844,1,0,2,0,0,1,2,S
875,19845,0,0,0,0,3,0,0,N
875,19846,3,0,0,0,0,3,0,N
875,19847,1,0,1,0,1,1,1,N
875,19848,1,0,1,0,1,1,1,S
875,19849,0,0,1,0,2,0,1,N
929,7512,3,0,0,0,0,3,0,S
929,7513,2,1,0,0,0,3,0,S
929,7514,0,0,0,3,0,0,3,U
929,7515,1,1,0,0,1,2,0,U
929,7516,1,0,1,0,1,1,1,N
929,7517,1,0,0,2,0,1,2,N
929,9941,0,1,0,0,2,1,0,N 
929,10007,0,1,0,0,2,1,0,N
929,10150,1,1,0,0,1,2,0,N
929,11000,0,1,1,1,0,1,2,N
929,11351,1,0,1,1,0,1,2,U 
929,11352,2,0,0,1,0,2,1,N
929,11354,1,2,0,0,0,3,0,N
929,11355,0,3,0,0,0,3,0,N
929,11357,2,1,0,0,0,3,0,N
929,18518,3,0,0,0,0,3,0,S
929,18519,1,1,0,0,1,2,0,N
929,18520,1,1,0,0,1,2,0,N
929,20196,0,0,0,0,3,0,0,N
929,20197,0,1,0,0,2,1,0,N
929,20198,0,0,0,2,1,0,2,N
929,20199,0,0,0,0,3,0,0,S
929,20200,0,0,0,0,3,0,0,N
929,20201,0,1,0,0,2,1,0,N
929,20202,0,0,0,0,3,0,0,N
955,7638,1,0,0,0,1,1,0,N
955,7639,0,2,0,0,0,2,0,N
955,7640,0,0,0,2,0,0,2,U
955,14301,0,0,0,1,2,0,1,N
955,18553,0,0,1,0,2,0,1,N
955,20348,1,0,1,1,0,1,2,N
955,20349,1,1,1,0,0,2,1,N
955,20350,1,2,0,0,0,3,0,N
955,20351,1,0,1,1,0,1,2,N
955,20352,1,1,1,0,0,2,1,N
955,20353,1,0,1,1,0,1,2,N
955,20354,0,1,1,1,0,1,2,N
983,7876,2,0,0,0,0,2,0,S
983,7877,0,0,0,1,1,0,1,U
983,7878,0,0,0,2,0,0,2,N
983,9108,0,0,2,0,0,0,2,N 
983,9109,0,0,1,1,0,0,2,N
983,9120,1,0,0,1,0,1,1,N
983,10775,0,0,2,0,0,0,2,N
983,20562,1,0,0,0,1,1,0,S
989,7910,3,0,0,0,0,3,0,S
989,7911,0,1,0,1,1,1,1,N
989,7912,0,0,0,2,1,0,2,N
989,7913,1,0,0,2,0,1,2,U
989,7914,0,0,0,3,0,0,3,U
989,7915,0,0,1,2,0,0,3,U
989,7916,1,0,0,2,0,1,2,U
989,7917,0,0,0,3,0,0,3,U
989,8363,0,0,0,0,2,0,0,N
989,9454,1,0,1,0,0,1,1,N
989,9788,0,0,0,0,2,0,0,N 
989,11230,1,0,0,1,0,1,1,S
989,12203,0,0,0,0,2,0,0,N
989,12483,1,1,0,0,0,2,0,N
989,12984,0,0,0,0,2,0,0,N 
989,15729,1,0,0,0,1,1,0,U
989,16061,1,0,0,0,1,1,0,N
989,19041,0,1,0,0,1,1,0,U
989,20608,1,0,0,0,1,1,0,U
989,20609,0,0,0,0,2,0,0,N
989,20610,0,0,0,0,2,0,0,N
989,20611,0,0,0,0,2,0,0,N
989,20612,0,0,0,0,2,0,0,N
989,20613,0,0,0,0,2,0,0,N
989,20614,0,0,0,0,2,0,0,N
989,20615,2,0,0,0,0,2,0,S
