,claim,perspective,_S,_A,_B,_U,N,S,U,gold,pred,total_vote,maj_vote,source
43,67,9524,0,0,0,2,1,0,2,N,"['U', 'N']",3,U,google
44,67,9525,0,0,0,0,3,0,0,N,"['N', 'S']",3,N,google
45,67,9526,0,0,2,0,1,0,2,N,"['U', 'N']",3,U,google
46,67,9527,0,0,1,0,2,0,1,N,"['N', 'U']",3,N,google
47,67,9528,0,0,0,0,3,0,0,N,"['N', 'S']",3,N,google
48,67,9529,1,0,0,1,1,1,1,N,"['S', 'U']",3,NULL,google
49,67,9530,0,0,1,0,2,0,1,N,"['N', 'U']",3,N,google
50,67,9531,0,0,0,1,2,0,1,N,"['N', 'U']",3,N,google
51,67,9532,0,0,1,0,2,0,1,N,"['N', 'U']",3,N,google
52,67,9533,0,3,0,0,0,3,0,N,"['S', 'U']",3,S,google
53,462,3440,1,1,1,0,0,2,1,S,"['S', 'U']",3,S,original
54,462,3441,0,2,0,1,0,2,1,S,"['S', 'U']",3,S,original
55,462,3442,0,2,1,0,0,2,1,S,"['S', 'U']",3,S,original
56,462,3443,2,1,0,0,0,3,0,S,"['S', 'U']",3,S,original
57,462,3444,1,1,0,1,0,2,1,U,"['S', 'U']",3,S,original
58,462,3445,0,3,0,0,0,3,0,U,"['S', 'U']",3,S,original
59,462,3446,0,0,1,2,0,0,3,U,"['U', 'S']",3,U,original
60,462,10050,3,0,0,0,0,3,0,S,"['S', 'U']",3,S,google
61,462,10581,1,0,0,0,2,1,0,N,"['N', 'S']",3,N,google
62,462,11585,0,0,0,2,1,0,2,N,"['U', 'N']",3,U,google
63,462,12235,0,0,0,0,3,0,0,N,"['N', 'S']",3,N,google
64,462,12707,2,0,1,0,0,2,1,S,"['S', 'U']",3,S,google
65,462,12892,1,0,1,0,1,1,1,N,"['S', 'U']",3,NULL,google
66,462,15213,1,0,1,0,1,1,1,N,"['S', 'U']",3,NULL,google
67,462,15214,0,0,1,1,1,0,2,S,"['U', 'N']",3,U,google
68,462,15215,2,0,0,0,1,2,0,N,"['S', 'N']",3,S,google
69,462,15216,3,0,0,0,0,3,0,S,"['S', 'U']",3,S,google
70,462,15217,0,0,0,0,3,0,0,N,"['N', 'S']",3,N,google
71,462,15218,1,0,1,0,1,1,1,S,"['S', 'U']",3,NULL,google
72,462,15219,2,0,0,1,0,2,1,N ,"['S', 'U']",3,S,google
73,462,15220,0,0,1,0,2,0,1,N,"['N', 'U']",3,N,google
74,581,4570,3,0,0,0,0,3,0,S,"['S', 'U']",3,S,original
75,581,4571,3,0,0,0,0,3,0,S,"['S', 'U']",3,S,original
76,581,4572,3,0,0,0,0,3,0,S,"['S', 'U']",3,S,original
77,581,4573,3,0,0,0,0,3,0,S,"['S', 'U']",3,S,original
78,581,4574,3,0,0,0,0,3,0,S,"['S', 'U']",3,S,original
79,581,4575,3,0,0,0,0,3,0,S,"['S', 'U']",3,S,original
80,581,4576,3,0,0,0,0,3,0,S,"['S', 'U']",3,S,original
81,581,4577,3,0,0,0,0,3,0,S,"['S', 'U']",3,S,original
82,581,4578,3,0,0,0,0,3,0,S,"['S', 'U']",3,S,original
83,581,4579,3,0,0,0,0,3,0,S,"['S', 'U']",3,S,original
84,581,4580,3,0,0,0,0,3,0,S,"['S', 'U']",3,S,original
85,581,4581,2,1,0,0,0,3,0,S,"['S', 'U']",3,S,original
86,581,4582,1,1,0,1,0,2,1,S,"['S', 'U']",3,S,original
87,581,4583,3,0,0,0,0,3,0,S,"['S', 'U']",3,S,original
88,581,4584,3,0,0,0,0,3,0,S,"['S', 'U']",3,S,original
89,581,4585,2,1,0,0,0,3,0,S,"['S', 'U']",3,S,original
90,581,4586,1,2,0,0,0,3,0,S,"['S', 'U']",3,S,original
91,581,4587,1,1,0,0,1,2,0,S,"['S', 'N']",3,S,original
92,581,4588,1,0,0,1,1,1,1,S,"['S', 'U']",3,NULL,original
93,581,4589,3,0,0,0,0,3,0,S,"['S', 'U']",3,S,original
94,581,4590,0,0,0,1,2,0,1,N,"['N', 'U']",3,N,original
95,581,4591,0,0,0,3,0,0,3,U,"['U', 'S']",3,U,original
96,581,4592,0,0,0,3,0,0,3,U,"['U', 'S']",3,U,original
97,581,4593,0,0,1,2,0,0,3,U,"['U', 'S']",3,U,original
98,581,4594,0,0,0,3,0,0,3,U,"['U', 'S']",3,U,original
99,581,4595,0,0,0,3,0,0,3,U,"['U', 'S']",3,U,original
100,581,4596,0,0,0,3,0,0,3,U,"['U', 'S']",3,U,original
101,581,4597,0,0,0,2,1,0,2,U,"['U', 'N']",3,U,original
102,581,4598,1,0,0,1,1,1,1,U,"['S', 'U']",3,NULL,original
103,581,4599,0,0,0,3,0,0,3,U,"['U', 'S']",3,U,original
104,581,4600,0,0,0,3,0,0,3,U,"['U', 'S']",3,U,original
105,581,4601,0,0,0,1,2,0,1,U,"['N', 'U']",3,N,original
106,581,4602,0,0,0,3,0,0,3,U,"['U', 'S']",3,U,original
107,581,4603,0,0,2,1,0,0,3,U,"['U', 'S']",3,U,original
108,581,4604,0,1,0,1,1,1,1,N,"['S', 'U']",3,NULL,original
109,581,4605,0,0,1,1,1,0,2,U,"['U', 'N']",3,U,original
110,581,4606,0,0,0,3,0,0,3,U,"['U', 'S']",3,U,original
111,581,4607,0,0,1,0,2,0,1,U,"['N', 'U']",3,N,original
112,581,4608,0,0,1,2,0,0,3,U ,"['U', 'S']",3,U,original
113,581,4609,0,0,0,3,0,0,3,U,"['U', 'S']",3,U,original
114,581,4610,0,0,0,3,0,0,3,U,"['U', 'S']",3,U,original
115,581,4611,0,0,1,2,0,0,3,U,"['U', 'S']",3,U,original
116,581,8147,0,0,1,0,2,0,1,N,"['N', 'U']",3,N,google
117,581,8149,0,0,1,0,2,0,1,N,"['N', 'U']",3,N,google
118,581,8328,1,0,2,0,0,1,2,S,"['U', 'S']",3,U,google
119,581,9794,0,0,0,0,3,0,0,N,"['N', 'S']",3,N,google
120,581,10047,0,0,0,0,3,0,0,N,"['N', 'S']",3,N,google
121,581,10208,0,0,0,1,2,0,1,N ,"['N', 'U']",3,N,google
122,581,10269,0,0,1,0,2,0,1,U,"['N', 'U']",3,N,google
123,581,10970,0,0,1,0,2,0,1,N,"['N', 'U']",3,N,google
124,581,11153,1,0,2,0,0,1,2,S,"['U', 'S']",3,U,google
125,581,11494,0,1,1,0,1,1,1,S,"['S', 'U']",3,NULL,google
126,581,11918,0,0,0,0,3,0,0,N,"['N', 'S']",3,N,google
127,581,12204,0,0,0,0,3,0,0,N,"['N', 'S']",3,N,google
128,581,12373,0,0,0,0,3,0,0,N,"['N', 'S']",3,N,google
129,581,12626,0,0,0,0,3,0,0,N,"['N', 'S']",3,N,google
130,581,13378,0,0,0,0,3,0,0,N,"['N', 'S']",3,N,google
131,581,13435,3,0,0,0,0,3,0,S,"['S', 'U']",3,S,google
132,581,13436,0,0,3,0,0,0,3,N,"['U', 'S']",3,U,google
133,581,13438,0,2,0,1,0,2,1,U,"['S', 'U']",3,S,google
134,581,13444,0,1,0,0,2,1,0,N,"['N', 'S']",3,N,google
135,581,13627,0,2,0,1,0,2,1,U,"['S', 'U']",3,S,google
136,581,14143,0,1,0,0,2,1,0,U,"['N', 'S']",3,N,google
137,581,14483,0,1,1,0,1,1,1,U ,"['S', 'U']",3,NULL,google
138,581,15109,1,0,2,0,0,1,2,S,"['U', 'S']",3,U,google
139,581,15225,1,0,0,0,2,1,0,N,"['N', 'S']",3,N,google
140,581,15281,0,1,0,0,2,1,0,N,"['N', 'S']",3,N,google
141,581,15671,0,1,1,0,1,1,1,S,"['S', 'U']",3,NULL,google
142,581,15834,1,0,0,0,2,1,0,N,"['N', 'S']",3,N,google
143,581,15881,0,1,0,0,2,1,0,N,"['N', 'S']",3,N,google
144,581,15927,0,0,0,0,3,0,0,N,"['N', 'S']",3,N,google
145,581,15929,0,0,0,1,2,0,1,N,"['N', 'U']",3,N,google
146,581,16602,0,0,1,0,2,0,1,N,"['N', 'U']",3,N,google
147,581,16614,0,0,0,1,2,0,1,N,"['N', 'U']",3,N,google
148,581,16678,1,0,0,0,2,1,0,N,"['N', 'S']",3,N,google
149,581,16679,2,0,1,0,0,2,1,S,"['S', 'U']",3,S,google
150,581,16750,0,0,1,0,2,0,1,N,"['N', 'U']",3,N,google
151,581,16815,1,0,2,0,0,1,2,S,"['U', 'S']",3,U,google
152,581,16816,0,0,2,1,0,0,3,U,"['U', 'S']",3,U,google
153,581,16817,1,0,1,1,0,1,2,U,"['U', 'S']",3,U,google
154,581,16818,1,0,2,0,0,1,2,S,"['U', 'S']",3,U,google
155,581,16819,0,1,2,0,0,1,2,N,"['U', 'S']",3,U,google
156,581,16820,2,0,1,0,0,2,1,S,"['S', 'U']",3,S,google
157,581,16821,3,0,0,0,0,3,0,S,"['S', 'U']",3,S,google
158,581,16822,2,0,1,0,0,2,1,S,"['S', 'U']",3,S,google
159,581,16823,1,0,0,0,2,1,0,N,"['N', 'S']",3,N,google
160,581,16824,0,1,0,0,2,1,0,S,"['N', 'S']",3,N,google
161,581,16825,0,0,3,0,0,0,3,S,"['U', 'S']",3,U,google
162,581,16826,0,0,1,0,2,0,1,U,"['N', 'U']",3,N,google
163,581,16827,0,0,0,0,3,0,0,N,"['N', 'S']",3,N,google
164,581,16828,0,2,0,1,0,2,1,U,"['S', 'U']",3,S,google
165,581,16829,3,0,0,0,0,3,0,S,"['S', 'U']",3,S,google
166,581,16830,0,0,0,0,3,0,0,N,"['N', 'S']",3,N,google
167,581,16831,0,0,0,0,3,0,0,N,"['N', 'S']",3,N,google
168,581,16832,0,0,0,1,2,0,1,N,"['N', 'U']",3,N,google
169,581,16833,0,1,0,1,1,1,1,N,"['S', 'U']",3,NULL,google
170,581,16834,0,0,0,1,2,0,1,N,"['N', 'U']",3,N,google
171,581,16835,3,0,0,0,0,3,0,S,"['S', 'U']",3,S,google
172,581,16836,0,1,0,2,0,1,2,U,"['U', 'S']",3,U,google
173,581,16837,0,1,0,2,0,1,2,U,"['U', 'S']",3,U,google
174,581,16838,2,0,1,0,0,2,1,S,"['S', 'U']",3,S,google
175,581,16839,0,1,0,0,2,1,0,N,"['N', 'S']",3,N,google
176,581,16840,3,0,0,0,0,3,0,S,"['S', 'U']",3,S,google
177,581,16841,0,1,0,0,2,1,0,N,"['N', 'S']",3,N,google
178,581,16842,0,1,0,0,2,1,0,S,"['N', 'S']",3,N,google
179,581,16843,2,0,1,0,0,2,1,S,"['S', 'U']",3,S,google
180,581,16844,2,0,0,0,1,2,0,S,"['S', 'N']",3,S,google
181,581,16845,0,0,1,0,2,0,1,N ,"['N', 'U']",3,N,google
182,581,16846,0,0,0,0,3,0,0,N,"['N', 'S']",3,N,google
183,581,16847,0,0,0,0,3,0,0,N,"['N', 'S']",3,N,google
184,581,16848,1,1,1,0,0,2,1,S,"['S', 'U']",3,S,google
185,581,16849,1,0,1,0,1,1,1,N ,"['S', 'U']",3,NULL,google
186,581,16850,0,0,1,1,1,0,2,U,"['U', 'N']",3,U,google
187,581,16851,0,0,1,2,0,0,3,N,"['U', 'S']",3,U,google
188,581,16852,0,0,1,2,0,0,3,U,"['U', 'S']",3,U,google
189,581,16853,0,0,1,1,1,0,2,U,"['U', 'N']",3,U,google
190,581,16854,1,0,2,0,0,1,2,S,"['U', 'S']",3,U,google
191,581,16855,1,0,2,0,0,1,2,S,"['U', 'S']",3,U,google
192,581,16856,0,0,1,2,0,0,3,U,"['U', 'S']",3,U,google
193,581,16857,0,0,0,0,3,0,0,N,"['N', 'S']",3,N,google
194,581,16858,0,0,0,0,3,0,0,N,"['N', 'S']",3,N,google
195,581,16859,0,1,0,0,2,1,0,S,"['N', 'S']",3,N,google
196,581,16860,0,1,1,0,1,1,1,U,"['S', 'U']",3,NULL,google
197,581,16861,0,1,0,1,1,1,1,U,"['S', 'U']",3,NULL,google
198,581,16862,0,0,0,0,3,0,0,N,"['N', 'S']",3,N,google
199,581,16863,0,1,0,0,2,1,0,U,"['N', 'S']",3,N,google
200,581,16864,0,0,0,0,3,0,0,N,"['N', 'S']",3,N,google
201,581,16865,0,1,1,0,1,1,1,N,"['S', 'U']",3,NULL,google
202,581,16866,1,0,2,0,0,1,2,S,"['U', 'S']",3,U,google
203,581,16867,0,1,0,0,2,1,0,N,"['N', 'S']",3,N,google
204,581,16868,0,1,1,1,0,1,2,U,"['U', 'S']",3,U,google
205,581,16869,0,1,1,0,1,1,1,N,"['S', 'U']",3,NULL,google
206,581,16870,0,1,0,1,1,1,1,U,"['S', 'U']",3,NULL,google
207,581,16871,0,1,0,0,2,1,0,N,"['N', 'S']",3,N,google
208,581,16872,2,0,1,0,0,2,1,S,"['S', 'U']",3,S,google
209,581,16873,1,0,1,0,1,1,1,S,"['S', 'U']",3,NULL,google
210,581,16874,0,1,1,0,1,1,1,N,"['S', 'U']",3,NULL,google
211,581,16875,0,0,0,1,2,0,1,N,"['N', 'U']",3,N,google
212,581,16876,0,0,0,0,3,0,0,N,"['N', 'S']",3,N,google
213,581,16877,0,1,0,0,2,1,0,N,"['N', 'S']",3,N,google
214,581,16878,1,0,2,0,0,1,2,S,"['U', 'S']",3,U,google
215,581,16879,0,0,0,1,2,0,1,S,"['N', 'U']",3,N,google
216,581,16880,0,0,0,1,2,0,1,N,"['N', 'U']",3,N,google
217,581,16881,0,0,1,2,0,0,3,U,"['U', 'S']",3,U,google
218,581,16882,0,0,1,0,2,0,1,N,"['N', 'U']",3,N,google
219,581,16883,0,0,1,0,2,0,1,S,"['N', 'U']",3,N,google
220,581,16884,0,0,1,0,2,0,1,U,"['N', 'U']",3,N,google
221,581,16885,0,1,0,1,1,1,1,N,"['S', 'U']",3,NULL,google
222,581,16886,1,0,2,0,0,1,2,S,"['U', 'S']",3,U,google
223,581,16887,0,1,1,0,1,1,1,S,"['S', 'U']",3,NULL,google
224,581,16888,0,1,0,2,0,1,2,U,"['U', 'S']",3,U,google
225,581,16889,0,0,0,0,3,0,0,N,"['N', 'S']",3,N,google
226,581,16890,0,0,0,0,3,0,0,N,"['N', 'S']",3,N,google
227,581,16891,0,1,0,0,2,1,0,N,"['N', 'S']",3,N,google
228,875,7092,0,0,0,3,0,0,3,U,"['U', 'S']",3,U,original
229,875,7093,0,0,0,3,0,0,3,U,"['U', 'S']",3,U,original
230,875,7094,0,0,0,2,1,0,2,U,"['U', 'N']",3,U,original
231,875,7095,0,1,0,2,0,1,2,S,"['U', 'S']",3,U,original
232,875,7096,0,0,0,3,0,0,3,U,"['U', 'S']",3,U,original
233,875,7097,0,0,0,1,2,0,1,U,"['N', 'U']",3,N,original
234,875,7098,0,0,0,1,2,0,1,U,"['N', 'U']",3,N,original
235,875,9278,0,0,2,0,1,0,2,N,"['U', 'N']",3,U,google
236,875,11116,3,0,0,0,0,3,0,N ,"['S', 'U']",3,S,google
237,875,11357,2,0,0,0,1,2,0,N,"['S', 'N']",3,S,google
238,875,16897,0,3,0,0,0,3,0,N,"['S', 'U']",3,S,google
239,875,18313,3,0,0,0,0,3,0,N,"['S', 'U']",3,S,google
240,875,19647,0,0,0,0,3,0,0,N,"['N', 'S']",3,N,google
241,875,19835,0,1,0,0,2,1,0,N,"['N', 'S']",3,N,google
242,875,19836,1,0,0,0,2,1,0,N,"['N', 'S']",3,N,google
243,875,19837,0,0,0,0,3,0,0,N,"['N', 'S']",3,N,google
244,875,19838,0,0,1,1,1,0,2,N,"['U', 'N']",3,U,google
245,875,19839,0,1,0,1,1,1,1,U,"['S', 'U']",3,NULL,google
246,875,19840,0,2,0,0,1,2,0,N,"['S', 'N']",3,S,google
247,875,19841,0,0,1,0,2,0,1,N,"['N', 'U']",3,N,google
248,875,19842,3,0,0,0,0,3,0,S,"['S', 'U']",3,S,google
249,875,19843,0,2,0,0,1,2,0,N,"['S', 'N']",3,S,google
250,875,19844,1,0,2,0,0,1,2,S,"['U', 'S']",3,U,google
251,875,19845,0,0,0,0,3,0,0,N,"['N', 'S']",3,N,google
252,875,19846,3,0,0,0,0,3,0,N,"['S', 'U']",3,S,google
253,875,19847,1,0,1,0,1,1,1,N,"['S', 'U']",3,NULL,google
254,875,19848,1,0,1,0,1,1,1,S,"['S', 'U']",3,NULL,google
255,875,19849,0,0,1,0,2,0,1,N,"['N', 'U']",3,N,google
256,929,7512,3,0,0,0,0,3,0,S,"['S', 'U']",3,S,original
257,929,7513,2,1,0,0,0,3,0,S,"['S', 'U']",3,S,original
258,929,7514,0,0,0,3,0,0,3,U,"['U', 'S']",3,U,original
259,929,7515,1,1,0,0,1,2,0,U,"['S', 'N']",3,S,original
260,929,7516,1,0,1,0,1,1,1,N,"['S', 'U']",3,NULL,original
261,929,7517,1,0,0,2,0,1,2,N,"['U', 'S']",3,U,original
262,929,9941,0,1,0,0,2,1,0,N ,"['N', 'S']",3,N,google
263,929,10007,0,1,0,0,2,1,0,N,"['N', 'S']",3,N,google
264,929,10150,1,1,0,0,1,2,0,N,"['S', 'N']",3,S,google
265,929,11000,0,1,1,1,0,1,2,N,"['U', 'S']",3,U,google
266,929,11351,1,0,1,1,0,1,2,U ,"['U', 'S']",3,U,google
267,929,11352,2,0,0,1,0,2,1,N,"['S', 'U']",3,S,google
268,929,11354,1,2,0,0,0,3,0,N,"['S', 'U']",3,S,google
269,929,11355,0,3,0,0,0,3,0,N,"['S', 'U']",3,S,google
270,929,11357,2,1,0,0,0,3,0,N,"['S', 'U']",3,S,google
271,929,18518,3,0,0,0,0,3,0,S,"['S', 'U']",3,S,google
272,929,18519,1,1,0,0,1,2,0,N,"['S', 'N']",3,S,google
273,929,18520,1,1,0,0,1,2,0,N,"['S', 'N']",3,S,google
274,929,20196,0,0,0,0,3,0,0,N,"['N', 'S']",3,N,google
275,929,20197,0,1,0,0,2,1,0,N,"['N', 'S']",3,N,google
276,929,20198,0,0,0,2,1,0,2,N,"['U', 'N']",3,U,google
277,929,20199,0,0,0,0,3,0,0,S,"['N', 'S']",3,N,google
278,929,20200,0,0,0,0,3,0,0,N,"['N', 'S']",3,N,google
279,929,20201,0,1,0,0,2,1,0,N,"['N', 'S']",3,N,google
280,929,20202,0,0,0,0,3,0,0,N,"['N', 'S']",3,N,google
281,955,7638,1,0,0,0,1,1,0,N,"['S', 'N']",2,NULL,original
282,955,7639,0,2,0,0,0,2,0,N,"['S', 'U']",2,S,original
283,955,7640,0,0,0,2,0,0,2,U,"['U', 'S']",2,U,original
284,955,14301,0,0,0,1,2,0,1,N,"['N', 'U']",3,N,google
285,955,18553,0,0,1,0,2,0,1,N,"['N', 'U']",3,N,google
286,955,20348,1,0,1,1,0,1,2,N,"['U', 'S']",3,U,google
287,955,20349,1,1,1,0,0,2,1,N,"['S', 'U']",3,S,google
288,955,20350,1,2,0,0,0,3,0,N,"['S', 'U']",3,S,google
289,955,20351,1,0,1,1,0,1,2,N,"['U', 'S']",3,U,google
290,955,20352,1,1,1,0,0,2,1,N,"['S', 'U']",3,S,google
291,955,20353,1,0,1,1,0,1,2,N,"['U', 'S']",3,U,google
292,955,20354,0,1,1,1,0,1,2,N,"['U', 'S']",3,U,google
293,983,7876,2,0,0,0,0,2,0,S,"['S', 'U']",2,S,original
294,983,7877,0,0,0,1,1,0,1,U,"['U', 'N']",2,NULL,original
295,983,7878,0,0,0,2,0,0,2,N,"['U', 'S']",2,U,original
296,983,9108,0,0,2,0,0,0,2,N ,"['U', 'S']",2,U,google
297,983,9109,0,0,1,1,0,0,2,N,"['U', 'S']",2,U,google
298,983,9120,1,0,0,1,0,1,1,N,"['S', 'U']",2,NULL,google
299,983,10775,0,0,2,0,0,0,2,N,"['U', 'S']",2,U,google
300,983,20562,1,0,0,0,1,1,0,S,"['S', 'N']",2,NULL,google
301,989,7910,3,0,0,0,0,3,0,S,"['S', 'U']",3,S,original
302,989,7911,0,1,0,1,1,1,1,N,"['S', 'U']",3,NULL,original
303,989,7912,0,0,0,2,1,0,2,N,"['U', 'N']",3,U,original
304,989,7913,1,0,0,2,0,1,2,U,"['U', 'S']",3,U,original
305,989,7914,0,0,0,3,0,0,3,U,"['U', 'S']",3,U,original
306,989,7915,0,0,1,2,0,0,3,U,"['U', 'S']",3,U,original
307,989,7916,1,0,0,2,0,1,2,U,"['U', 'S']",3,U,original
308,989,7917,0,0,0,3,0,0,3,U,"['U', 'S']",3,U,original
309,989,8363,0,0,0,0,2,0,0,N,"['N', 'S']",2,N,google
310,989,9454,1,0,1,0,0,1,1,N,"['S', 'U']",2,NULL,google
311,989,9788,0,0,0,0,2,0,0,N ,"['N', 'S']",2,N,google
312,989,11230,1,0,0,1,0,1,1,S,"['S', 'U']",2,NULL,google
313,989,12203,0,0,0,0,2,0,0,N,"['N', 'S']",2,N,google
314,989,12483,1,1,0,0,0,2,0,N,"['S', 'U']",2,S,google
315,989,12984,0,0,0,0,2,0,0,N ,"['N', 'S']",2,N,google
316,989,15729,1,0,0,0,1,1,0,U,"['S', 'N']",2,NULL,google
317,989,16061,1,0,0,0,1,1,0,N,"['S', 'N']",2,NULL,google
318,989,19041,0,1,0,0,1,1,0,U,"['S', 'N']",2,NULL,google
319,989,20608,1,0,0,0,1,1,0,U,"['S', 'N']",2,NULL,google
320,989,20609,0,0,0,0,2,0,0,N,"['N', 'S']",2,N,google
321,989,20610,0,0,0,0,2,0,0,N,"['N', 'S']",2,N,google
322,989,20611,0,0,0,0,2,0,0,N,"['N', 'S']",2,N,google
323,989,20612,0,0,0,0,2,0,0,N,"['N', 'S']",2,N,google
324,989,20613,0,0,0,0,2,0,0,N,"['N', 'S']",2,N,google
325,989,20614,0,0,0,0,2,0,0,N,"['N', 'S']",2,N,google
326,989,20615,2,0,0,0,0,2,0,S,"['S', 'U']",2,S,google
